# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarru dannu šar kiššati šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	_	_	_	_
2	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	1	appos	_	_
3	rabû	rabû	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	2	amod	_	_
4	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	1	appos	_	_
5	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	4	amod	_	_
6	šar	šar	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M	1	appos	_	_
7	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	6	nmod_poss	_	_
8	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	1	appos	_	_
9	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	8	nmod_poss	_	_
10	Aššur	Aššur	PROPN	PROPN	Gender=M	9	nmod_tmod	_	_
11	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	1	appos	_	_
12	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	11	nmod_poss	_	_
13	šarri	šarri	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	12	appos	_	_
14	rabê	rabê	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	13	amod	_	_
15	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	12	appos	_	_
16	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	15	amod	_	_
17	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	12	appos	_	_
18	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	17	nmod_poss	_	_
19	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	12	appos	_	_
20	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	19	nmod_poss	_	_
21	Aššur	Aššur	PROPN	PROPN	Gender=M	20	nmod_poss	_	_
22	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	12	appos	_	_
23	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	22	nmod_poss	_	_
24	šarri	šarri	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	23	appos	_	_
25	rabê	rabê	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	24	amod	_	_
26	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	23	appos	_	_
27	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	26	amod	_	_
28	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	23	appos	_	_
29	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	28	nmod_poss	_	_
30	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	23	appos	_	_
31	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	30	nmod_poss	_	_
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	PROPN	Gender=M	31	nmod_poss	_	_
33	ma	ma	PART	PART	_	32	det	_	_

