# text = lū ušamqit ina rēṣūṭe ša Šamaš u Adad ilāni tiklē ya ummānāt mātāt Nairi Habhi Šubare u Nirib kīma Adad rāhiṣi eli šunu ašgum šarru ša ultu ebertān Idiqlat adi Labnana
1	lū	lū	PART	PART	_	2	advmod_emph	_	_
2	ušamqit	ušamqit	VERB	VERB	Verb_stem=S|Person=1|Tense=preterit|Mood=indicative	_	_	_	_
3	ina	ina	ADP	ADP	_	4	case	_	_
4	rēṣūṭe	rēṣūṭe	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=F	_	_	_	_
5	ša	ša	ADP	ADP	_	6	case	_	_
6	Šamaš	Šamaš	PROPN	PROPN	Gender=M	4	nmod	_	_
7	u	u	CONJ	CONJ	_	8	cc	_	_
8	Adad	Adad	PROPN	PROPN	Gender=M	6	conj	_	_
9	ilāni	ilāni	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=M	6	appos	_	_
10-11	tiklēya	_	_	_	_	_	_	_	_
10	tiklē	tiklē	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Pl|Gender=M	6	appos	_	_
11	ya	ya	PRON	PRON	Person=1|Number=Sg	10	det	_	_
12	ummānāt	ummānāt	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=F	_	_	_	_
13	mātāt	mātāt	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=F	12	nmod_poss	_	_
14	Nairi	Nairi	PROPN	PROPN	Case=Gen	13	nmod_poss	_	_
15	Habhi	Habhi	PROPN	PROPN	Case=Gen	14	conj	_	_
16	Šubare	Šubare	PROPN	PROPN	Case=Gen	14	conj	_	_
17	u	u	CONJ	CONJ	_	18	cc	_	_
18	Nirib	Nirib	PROPN	PROPN	Case=Gen	14	conj	_	_
19	kīma	kīma	ADP	ADP	_	20	case	_	_
20	Adad	Adad	PROPN	PROPN	Gender=M	_	_	_	_
21	rāhiṣi	rāhiṣi	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	20	nmod_poss	_	_
22-23	elišunu	_	_	_	_	_	_	_	_
22	eli	eli	ADP	ADP	_	_	_	_	_
23	šunu	šunu	PRON	PRON	_	24	iobj	_	_
24	ašgum	ašgum	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Mood=indicative	_	_	_	_
25	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	_	_	_	_
26	ša	ša	PRON	PRON	_	_	_	_	_
27	ultu	ultu	ADP	ADP	_	28	case	_	_
28	ebertān	ebertān	NOUN	NOUN	Noun_base=bound|Gender=F	_	_	_	_
29	Idiqlat	Idiqlat	PROPN	PROPN	_	28	nmod_poss	_	_
30	adi	adi	ADP	ADP	_	31	case	_	_
31	Labnana	Labnana	PROPN	PROPN	_	_	_	_	_

