1	maddattu	_	_	NOUN	Case=Nom|Gender=F|Number=Sg|Noun_base=free	14	dobj	_	_
2	ša	_	_	ADP	_	3	case	_	_
3	{m}x	_	_	PROPN	_	1	nmod	_	_
4	hurāṣī	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	_	_	_	_
5	annakī	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
6	erî	_	_	NOUN	Noun_base=free|Number=Pl|Gender=M	4	list	_	_
7	parzillī	_	_	NOUN	Gender=M|Number=Pl	4	list	_	_
8	x	_	_	_	_	_	_	_	_
9	taphi	_	_	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	4	list	_	_
10	erîm	_	_	NOUN	Case=Gen|Gender=M|Number=Sg|Noun_base=free	9	nmod_poss	_	form=erî
11	x.MEŠ	_	_	NOUN	Number=Pl	4	list	_	_
12	erîm	_	_	NOUN	Case=Gen|Gender=M|Number=Sg|Noun_base=free	11	nmod_poss	_	form=erî
13	x	_	_	_	_	_	_	_	_
14	amhur	_	_	VERB	Verb_stem=G|Number=Sg|Tense=preterit|Mood=indicative|Person=1	_	_	_	_
