# text = ēkal Aššur-naṣir-apli šarru rabê šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	_	_	_	_
2	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Number=Sg|Noun_base=free	2	appos	_	_
4	rabê	rabê	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	3	amod	_	_
5	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Number=Sg|Noun_base=free	2	appos	_	_
6	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	5	amod	_	_
7	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
8	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	7	nmod_poss	_	_
9	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
10	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	9	nmod_poss	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
13	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	12	nmod_poss	_	_
14	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Number=Sg|Noun_base=free	13	appos	_	_
15	rabê	rabê	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	14	amod	_	_
16	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Number=Sg|Noun_base=free	13	appos	_	_
17	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	16	amod	_	_
18	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	13	appos	_	_
19	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	18	nmod_poss	_	_
20	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	13	appos	_	_
21	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	20	nmod_poss	_	_
22	Aššur	Aššur	PROPN	PROPN	Gender=M	21	nmod_poss	_	_
23	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	13	appos	_	_
24	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	23	nmod_poss	_	_
25	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	24	appos	_	_
26	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	25	nmod_poss	_	_
27	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	24	appos	_	_
28	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	27	nmod_poss	_	_
29-30	Aššurma	_	_	_	_	_	_	_	_
29	Aššur	Aššur	PROPN	PROPN	Gender=M	28	nmod_poss	_	_
30	ma	ma	PART	PART	_	29	det	_	_

