# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur ma makkūr bīt Ištar ša Ninua
1	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	_	_	_	_
2	šakin	šakin	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	1	appos	_	_
3	Enlil	Enlil	PROPN	PROPN	Gender=M	2	nmod_poss	_	_
4	iššak	iššak	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	1	appos	_	_
5	Aššur	Aššur	PROPN	PROPN	Gender=M	4	nmod_poss	_	_
6	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	1	appos	_	_
7	rabû	rabû	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	6	amod	_	_
8	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	1	appos	_	_
9	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	8	amod	_	_
10	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	1	appos	_	_
11	kiššati	kiššati	NOUN	NOUN	Case=Gen|Number=Sg|Noun_base=free|Gender=F	10	nmod_poss	_	_
12	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	1	acl	_	_
13	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	12	nmod_poss	_	_
14	Aššur	Aššur	PROPN	PROPN	Gender=M	13	nmod_poss	_	_
15	mār	mār	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	1	appos	_	_
16	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	15	nmod_poss	_	_
17	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	16	appos	_	_
18	rabû	rabû	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	17	amod	_	_
19	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	16	appos	_	_
20	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	19	amod	_	_
21	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	16	appos	_	_
22	kiššati	kiššati	NOUN	NOUN	Case=Gen|Number=Sg|Noun_base=free|Gender=F	21	nmod_poss	_	_
23	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	16	appos	_	_
24	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	23	nmod_poss	_	_
25	Aššur	Aššur	PROPN	PROPN	Gender=M	24	nmod_poss	_	_
26	mār	mār	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	16	appos	_	_
27	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	26	nmod_poss	_	_
28	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	27	appos	_	_
29	rabû	rabû	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	28	amod	_	_
30	šarru	šarru	NOUN	NOUN	Case=Nom|Number=Sg|Noun_base=free|Gender=M	27	appos	_	_
31	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	30	amod	_	_
32	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	27	appos	_	_
33	kiššati	kiššati	NOUN	NOUN	Case=Gen|Number=Sg|Noun_base=free|Gender=F	32	nmod_poss	_	_
34	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	27	appos	_	_
35	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	34	nmod_poss	_	_
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	PROPN	Gender=M	35	nmod_poss	_	_
37	ma	ma	PART	PART	_	36	det	_	_
38	makkūr	makkūr	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	_	_	_	_
39	bīt	bīt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	38	nmod_poss	_	_
40	Ištar	Ištar	PROPN	PROPN	Gender=F	39	nmod_poss	_	_
41	ša	ša	ADP	ADP	_	42	case	_	_
42	Ninua	Ninua	PROPN	PROPN	_	40	nmod	_	_

