# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	_	_	_	_
2	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	2	appos	_	_
4	kiššati	kiššati	NOUN	NOUN	Number=Sg|Gender=F|Case=Gen|Noun_base=free	3	nmod_poss	_	_
5	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	2	appos	_	_
6	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	5	nmod_poss	_	_
7	Aššur	Aššur	PROPN	PROPN	Gender=M	6	nmod_poss	_	_
8	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	2	appos	_	_
9	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	9	appos	_	_
11	kiššati	kiššati	NOUN	NOUN	Number=Sg|Gender=F|Case=Gen|Noun_base=free	10	nmod_poss	_	_
12	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	9	appos	_	_
13	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	12	nmod_poss	_	_
14	Aššur	Aššur	PROPN	PROPN	Gender=M	13	nmod_poss	_	_
15	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	9	appos	_	_
16	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	15	nmod_poss	_	_
17	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	16	appos	_	_
18	kiššati	kiššati	NOUN	NOUN	Number=Sg|Gender=F|Case=Gen|Noun_base=free	17	nmod_poss	_	_
19	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	16	appos	_	_
20	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	19	nmod_poss	_	_
21	Aššur	Aššur	PROPN	PROPN	Gender=M	20	nmod_poss	_	_
22	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	16	appos	_	_
23	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	22	nmod_poss	_	_
24	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	23	appos	_	_
25	kiššati	kiššati	NOUN	NOUN	Number=Sg|Gender=F|Case=Gen|Noun_base=free	24	nmod_poss	_	_
26	šar	šar	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	23	appos	_	_
27	māt	māt	NOUN	NOUN	Number=Sg|Gender=F|Noun_base=bound	26	nmod_poss	_	_
28-29	Aššurma	_	_	_	_	_	_	_	_
28	Aššur	Aššur	PROPN	PROPN	Gender=M	27	nmod_poss	_	_
29	ma	ma	PART	PART	_	28	det	_	_

