# text = Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	_	_	_	_
2	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	1	appos	_	_
3	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	2	nmod_poss	_	_
4	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	1	appos	_	_
5	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	4	nmod_poss	_	_
6	Aššur	Aššur	PROPN	PROPN	Gender=M	5	nmod_poss	_	_
7	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	1	appos	_	_
8	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	7	nmod_poss	_	_
9	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	8	appos	_	_
10	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	9	nmod_poss	_	_
11	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	8	appos	_	_
12	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	11	nmod_poss	_	_
13	Aššur	Aššur	PROPN	PROPN	Gender=M	12	nmod_poss	_	_
14	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	8	appos	_	_
15	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	14	nmod_poss	_	_
16	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	15	appos	_	_
17	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Number=Sg|Noun_base=free	16	nmod_poss	_	_
18	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	15	appos	_	_
19	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	18	nmod_poss	_	_
20-21	Aššurma	_	_	_	_	_	_	_	_
20	Aššur	Aššur	PROPN	PROPN	Gender=M	19	nmod_poss	_	_
21	ma	ma	PART	PART	_	20	det	_	_

