# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	_	_	_	_
2	šakin	šakin	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	1	appos	_	_
3	Enlil	Enlil	PROPN	PROPN	Gender=M	2	nmod_poss	_	_
4	iššak	iššak	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	1	appos	_	_
5	Aššur	Aššur	PROPN	PROPN	Gender=M	4	nmod_poss	_	_
6	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	1	appos	_	_
7	rabû	rabû	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	6	amod	_	_
8	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	1	appos	_	_
9	dannu	dannu	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	8	amod	_	_
10	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	1	appos	_	_
11	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	10	nmod_poss	_	_
12	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	1	appos	_	_
13	māt	māt	NOUN	NOUN	Noun_base=bound|Gender=F|Number=Sg	12	nmod_poss	_	_
14	Aššur	Aššur	PROPN	PROPN	Gender=M	13	nmod_poss	_	_
15	mār	mār	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	1	appos	_	_
16	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	15	nmod_poss	_	_
17	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	16	appos	_	_
18	rabû	rabû	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	17	amod	_	_
19	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	16	appos	_	_
20	dannu	dannu	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	19	amod	_	_
21	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	16	appos	_	_
22	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	21	nmod_poss	_	_
23	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	16	appos	_	_
24	māt	māt	NOUN	NOUN	Noun_base=bound|Gender=F|Number=Sg	23	nmod_poss	_	_
25	Aššur	Aššur	PROPN	PROPN	Gender=M	24	nmod_poss	_	_
26	mār	mār	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	16	appos	_	_
27	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	26	nmod_poss	_	_
28	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	27	appos	_	_
29	rabû	rabû	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	28	amod	_	_
30	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	27	appos	_	_
31	dannu	dannu	ADJ	ADJ	Number=Sg|Gender=M|Case=Nom	30	amod	_	_
32	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	27	appos	_	_
33	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	32	nmod_poss	_	_
34	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	27	appos	_	_
35	māt	māt	NOUN	NOUN	Noun_base=bound|Gender=F|Number=Sg	34	nmod_poss	_	_
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	PROPN	Gender=M	35	nmod_poss	_	_
37	ma	ma	PART	PART	_	36	det	_	_

