# text = ēkal Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarri danni šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarri danni šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	_	_	_	_
2	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Noun_base=free|Gender=M|Case=Nom|Number=Sg	2	appos	_	_
4	rabû	rabû	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	3	amod	_	_
5	šarru	šarru	NOUN	NOUN	Noun_base=free|Gender=M|Case=Nom|Number=Sg	2	appos	_	_
6	dannu	dannu	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	5	amod	_	_
7	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
8	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Gender=F|Case=Gen|Number=Sg	7	nmod_poss	_	_
9	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
10	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	9	nmod_poss	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
13	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	12	nmod_poss	_	_
14	šarri	šarri	NOUN	NOUN	Noun_base=free|Gender=M|Case=Gen|Number=Sg	13	appos	_	_
15	rabê	rabê	ADJ	ADJ	Gender=M|Case=Gen|Number=Sg	14	amod	_	_
16	šarri	šarri	NOUN	NOUN	Noun_base=free|Gender=M|Case=Gen|Number=Sg	13	appos	_	_
17	danni	danni	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	16	amod	_	_
18	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	13	appos	_	_
19	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Gender=F|Case=Gen|Number=Sg	18	nmod_poss	_	_
20	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	13	appos	_	_
21	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	20	nmod_poss	_	_
22	Aššur	Aššur	PROPN	PROPN	Gender=M	21	nmod_poss	_	_
23	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	13	appos	_	_
24	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	23	nmod_poss	_	_
25	šarri	šarri	NOUN	NOUN	Noun_base=free|Gender=M|Case=Gen|Number=Sg	24	appos	_	_
26	rabê	rabê	ADJ	ADJ	Gender=M|Case=Gen|Number=Sg	25	amod	_	_
27	šarri	šarri	NOUN	NOUN	Noun_base=free|Gender=M|Case=Gen|Number=Sg	24	appos	_	_
28	danni	danni	ADJ	ADJ	Case=Gen|Gender=M|Number=Sg	27	amod	_	_
29	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	24	appos	_	_
30	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Gender=F|Case=Gen|Number=Sg	29	nmod_poss	_	_
31	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	24	appos	_	_
32	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	31	nmod_poss	_	_
33-34	Aššurma	_	_	_	_	_	_	_	_
33	Aššur	Aššur	PROPN	PROPN	Gender=M	32	nmod_poss	_	_
34	ma	ma	PART	PART	_	33	det	_	_

