# text = Aššur-naṣir-apli šakin Enlil iššak Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur mār Adad-nerari šakin Enlil iššak Aššur
1	Aššur-naṣir-apli	Aššur-naṣir-apli	PROPN	PROPN	Gender=M	_	_	_	_
2	šakin	šakin	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	1	appos	_	_
3	Enlil	Enlil	PROPN	PROPN	Gender=M	2	nmod_poss	_	_
4	iššak	iššak	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	1	appos	_	_
5	Aššur	Aššur	PROPN	PROPN	Gender=M	4	nmod_poss	_	_
6	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	1	appos	_	_
7	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	6	nmod_poss	_	_
8	šakin	šakin	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	7	appos	_	_
9	Enlil	Enlil	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	iššak	iššak	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	7	appos	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	mār	mār	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	7	appos	_	_
13	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	12	nmod_poss	_	_
14	šakin	šakin	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	13	appos	_	_
15	Enlil	Enlil	PROPN	PROPN	Gender=M	14	nmod_poss	_	_
16	iššak	iššak	NOUN	NOUN	Number=Sg|Gender=M|Noun_base=bound	13	appos	_	_
17	Aššur	Aššur	PROPN	PROPN	Gender=M	16	nmod_poss	_	_

