# text = kullat mārī šunu mārāti šunu ana kaspī ipšurūni ina siqir Aššur bēli ya ana hubtān lū ahtabta dīkta šunu maʾatta x adūk šallas sunu būšī šunu makkūr šunu alpī šunu immer ṣēnī šunu ašlul ma ana āli ya Aššur ubla x Uluzu-x x ana abi ya x ana ramāni šunu uṣabbitūni x ina siqir ša Aššur bēli ya narkabāti ummānāte šunu adki x dīkta šunu maʾatta adūk x ālāni šunu appul aqqur ina išātāti ašrupu sītāt ummānāte šunu ša ištu pān kakkī ya ipparšidūni ištu x adi Halhalauš x arki šunu artedi dīkta šunu maʾatta adūk x šallas sunu būšī šunu ašlul ma sītāte šunu assuha ina x x Kundabhale šar Katmuhi x biltu maddattu ana x ṣīrāte ina x x ša Adad u x adki x x x
1	kullat	kullat	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	_	_	_	_
2-3	mārīšunu	_	_	_	_	_	_	_	_
2	mārī	mārī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	1	nmod_poss	_	_
3	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	2	det	_	_
4-5	mārātišunu	_	_	_	_	_	_	_	_
4	mārāti	mārāti	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=F	2	conj	_	_
5	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	4	det	_	_
6	ana	ana	ADP	ADP	_	7	case	_	_
7	kaspī	kaspī	NOUN	NOUN	Gender=M|Number=Pl	8	obl	_	_
8	ipšurūni	ipšurūni	VERB	VERB	Verb_stem=G|Mood=subjunctive|Gender=M|Number=Pl|Person=3|Tense=preterit	_	_	_	_
9	ina	ina	ADP	ADP	_	10	case	_	_
10	siqir	siqir	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	17	obl	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12-13	bēliya	_	_	_	_	_	_	_	_
12	bēli	bēli	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Sg|Gender=M	11	appos	_	_
13	ya	ya	PRON	PRON	Person=1|Number=Sg	12	det	_	_
14	ana	ana	ADP	ADP	_	15	case	_	_
15	hubtān	hubtāni	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	17	dobj	_	_
16	lū	lū	PART	PART	_	17	advmod_emph	_	_
17	ahtabta	ahtabta	VERB	VERB	Verb_stem=G|Person=1|Tense=perfect|Number=Sg|Mood=ventive	_	_	_	_
18-19	dīktašunu	_	_	_	_	_	_	_	_
18	dīkta	dīkta	NOUN	NOUN	Case=Acc|Noun_base=suffixal|Number=Sg|Gender=F	22	dobj	_	_
19	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	18	det	_	_
20	maʾatta	maʾatta	ADJ	ADJ	Gender=F|Case=Acc|Number=Sg	18	amod	_	_
21	x	x	_	_	_	_	_	_	_
