# text = ēkalli Aššur-dan šarru dannu šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šarru dannu šar kiššati šar māt Aššur mār Aššur-reša-iši šarru dannu šar kiššati šar māt Aššur mār Aššur-rabi šarru dannu šar kiššati šar māt Aššur ma
1	ēkalli	ēkalli	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	_	_	_	_
2	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Gender=M|Case=Nom|Number=Sg|Noun_base=free	2	appos	_	_
4	dannu	dannu	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	3	amod	_	_
5	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
6	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Number=Sg|Noun_base=free	5	nmod_poss	_	_
7	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
8	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	7	nmod_poss	_	_
9	Aššur	Aššur	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	2	appos	_	_
11	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	šarru	šarru	NOUN	NOUN	Gender=M|Case=Nom|Number=Sg|Noun_base=free	11	appos	_	_
13	dannu	dannu	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	12	amod	_	_
14	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	11	appos	_	_
15	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Number=Sg|Noun_base=free	14	nmod_poss	_	_
16	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	11	appos	_	_
17	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	16	nmod_poss	_	_
18	Aššur	Aššur	PROPN	PROPN	Gender=M	17	nmod_poss	_	_
19	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	11	appos	_	_
20	Aššur-reša-iši	Aššur-reša-iši	PROPN	PROPN	Gender=M	19	nmod_poss	_	_
21	šarru	šarru	NOUN	NOUN	Gender=M|Case=Nom|Number=Sg|Noun_base=free	20	appos	_	_
22	dannu	dannu	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	21	amod	_	_
23	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	20	appos	_	_
24	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Number=Sg|Noun_base=free	23	nmod_poss	_	_
25	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	20	appos	_	_
26	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	25	nmod_poss	_	_
27	Aššur	Aššur	PROPN	PROPN	Gender=M	26	nmod_poss	_	_
28	mār	mār	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	20	appos	_	_
29	Aššur-rabi	Aššur-rabi	PROPN	PROPN	Gender=M	28	nmod_poss	_	_
30	šarru	šarru	NOUN	NOUN	Gender=M|Case=Nom|Number=Sg|Noun_base=free	29	appos	_	_
31	dannu	dannu	ADJ	ADJ	Gender=M|Case=Nom|Number=Sg	30	amod	_	_
32	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	29	appos	_	_
33	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Number=Sg|Noun_base=free	32	nmod_poss	_	_
34	šar	šar	NOUN	NOUN	Gender=M|Number=Sg|Noun_base=bound	29	appos	_	_
35	māt	māt	NOUN	NOUN	Gender=F|Number=Sg|Noun_base=bound	34	nmod_poss	_	_
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	PROPN	Gender=M	35	nmod_poss	_	_
37	ma	ma	PART	PART	_	36	det	_	_

