# text = ēkal Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Gender=F|Noun_base=bound|Number=Sg	_	_	_	_
2	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Noun_base=free|Number=Sg	2	appos	_	_
4	rabû	rabû	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	3	amod	_	_
5	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=M|Noun_base=free|Number=Sg	2	appos	_	_
6	dannu	dannu	ADJ	ADJ	Case=Nom|Gender=M|Number=Sg	5	amod	_	_
7	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	2	appos	_	_
8	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Noun_base=free|Number=Sg	7	nmod_poss	_	_
9	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	2	appos	_	_
10	māt	māt	NOUN	NOUN	Gender=F|Noun_base=bound|Number=Sg	9	nmod_poss	_	_
11	Aššur	Aššur	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	mār	mār	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	2	appos	_	_
13	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	12	nmod_poss	_	_
14	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	13	appos	_	_
15	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Noun_base=free|Number=Sg	14	nmod_poss	_	_
16	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	13	appos	_	_
17	māt	māt	NOUN	NOUN	Gender=F|Noun_base=bound|Number=Sg	16	nmod_poss	_	_
18	Aššur	Aššur	PROPN	PROPN	Gender=M	17	nmod_poss	_	_
19	mār	mār	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	13	appos	_	_
20	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra	PROPN	PROPN	Gender=M	19	nmod_poss	_	_
21	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	20	appos	_	_
22	kiššati	kiššati	NOUN	NOUN	Case=Gen|Gender=F|Noun_base=free|Number=Sg	21	nmod_poss	_	_
23	šar	šar	NOUN	NOUN	Gender=M|Noun_base=bound|Number=Sg	20	appos	_	_
24	māt	māt	NOUN	NOUN	Gender=F|Noun_base=bound|Number=Sg	23	nmod_poss	_	_
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	Aššur	PROPN	PROPN	Gender=M	24	nmod_poss	_	_
26	ma	ma	PART	PART	_	25	det	_	_

