# text = ṣalam Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur ma
1	ṣalam	ṣalam	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	_	_	_	_
2	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	2	appos	_	_
4	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	3	amod	_	_
5	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
6	kiššati	kiššati	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=F	5	nmod_poss	_	_
7	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
8	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	7	nmod_poss	_	_
9	Aššur	Aššur	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
11	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
13	kiššati	kiššati	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=F	12	nmod_poss	_	_
14	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
15	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	14	nmod_poss	_	_
16	Aššur	Aššur	PROPN	PROPN	Gender=M	15	nmod_poss	_	_
17	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
18	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra	PROPN	PROPN	Gender=M	17	nmod_poss	_	_
19	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	18	appos	_	_
20	kiššati	kiššati	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=F	19	nmod_poss	_	_
21	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	18	appos	_	_
22	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	21	nmod_poss	_	_
23-24	Aššurma	_	_	_	_	_	_	_	_
23	Aššur	Aššur	PROPN	PROPN	Gender=M	22	nmod_poss	_	_
24	ma	ma	PART	PART	_	23	det	_	_

