1	kišādu	_	NOUN	_	Case=Nom|Noun_base=free|Number=Sg|Gender=M	_	_	_	_
2	ša	_	ADP	_	_	3	case	_	_
3	Tukulti-Ninurta	_	PROPN	_	Gender=M	1	nmod	_	_
4	šar	_	NOUN	_	Number=Sg|Gender=M|Noun_base=bound	3	appos	_	_
5	māt	_	NOUN	_	Number=Sg|Gender=F|Noun_base=bound	4	nmod_poss	_	_
6	Aššur	_	PROPN	_	Gender=M	5	nmod_poss	_	_
7	mār	_	NOUN	_	Number=Sg|Gender=M|Noun_base=bound	3	appos	_	_
8	Adad-nerari	_	PROPN	_	Gender=M	7	nmod_poss	_	_
9	šar	_	NOUN	_	Number=Sg|Gender=M|Noun_base=bound	8	appos	_	_
10	māt	_	NOUN	_	Number=Sg|Gender=F|Noun_base=bound	9	nmod_poss	_	_
11	Aššur	_	PROPN	_	Gender=M	10	nmod_poss	_	_
