# text = ēkal Tukulti-Ninurta šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	_	_	_	_
2	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	2	appos	_	_
4	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	3	amod	_	_
5	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
6	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	5	nmod_poss	_	_
7	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
8	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	7	nmod_poss	_	_
9	Aššur	Aššur	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	2	appos	_	_
11	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	10	nmod_poss	_	_
12	šarru	šarru	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=M|Case=Nom	11	appos	_	_
13	dannu	dannu	ADJ	ADJ	Case=Nom|Number=Sg|Gender=M	12	amod	_	_
14	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
15	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	14	nmod_poss	_	_
16	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
17	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	16	nmod_poss	_	_
18	Aššur	Aššur	PROPN	PROPN	Gender=M	17	nmod_poss	_	_
19	mār	mār	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	11	appos	_	_
20	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	19	nmod_poss	_	_
21	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	20	appos	_	_
22	kiššati	kiššati	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F|Case=Gen	21	nmod_poss	_	_
23	šar	šar	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=M	20	appos	_	_
24	māt	māt	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	23	nmod_poss	_	_
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	Aššur	PROPN	PROPN	Gender=M	24	nmod_poss	_	_
26	ma	ma	PART	PART	_	25	det	_	_

