# text = ēkal Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur ma
1	ēkal	ēkal	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	_	_	_	_
2	Tukulti-Ninurta	Tukulti-Ninurta	PROPN	PROPN	Gender=M	1	nmod_poss	_	_
3	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	2	appos	_	_
4	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Noun_base=free|Number=Sg	3	nmod_poss	_	_
5	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	2	appos	_	_
6	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	5	nmod_poss	_	_
7	Aššur	Aššur	PROPN	PROPN	Gender=M	6	nmod_poss	_	_
8	mār	mār	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	2	appos	_	_
9	Adad-nerari	Adad-nerari	PROPN	PROPN	Gender=M	8	nmod_poss	_	_
10	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	9	appos	_	_
11	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Noun_base=free|Number=Sg	10	nmod_poss	_	_
12	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	9	appos	_	_
13	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	12	nmod_poss	_	_
14	Aššur	Aššur	PROPN	PROPN	Gender=M	13	nmod_poss	_	_
15	mār	mār	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	9	appos	_	_
16	Aššur-dan	Aššur-dan	PROPN	PROPN	Gender=M	15	nmod_poss	_	_
17	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	16	appos	_	_
18	kiššati	kiššati	NOUN	NOUN	Gender=F|Case=Gen|Noun_base=free|Number=Sg	17	nmod_poss	_	_
19	šar	šar	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=M	16	appos	_	_
20	māt	māt	NOUN	NOUN	Number=Sg|Noun_base=bound|Gender=F	19	nmod_poss	_	_
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	PROPN	Gender=M	20	nmod_poss	_	_
22	ma	ma	PART	PART	_	21	det	_	_

