# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004463-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	0	root	0:root	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	2	amod	2:amod	GAL-u₂
4	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	1	appos	1:appos	MAN
5	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	4	amod	4:amod	dan-nu
6	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	MAN
7	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	6	nmod:poss	6:nmod:poss	KIŠ
8	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	MAN
9	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	8	nmod:poss	8:nmod:poss	KUR
10	Aššur	Aššur	PROPN	GN	Gender=Masc	9	nmod:poss	9:nmod:poss	aš-šur
11	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	DUMU
12	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	11	nmod:poss	11:nmod:poss	TUKUL-MAŠ
13	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	12	appos	12:appos	MAN
14	rabê	rabû	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	13	amod	13:amod	GAL-e
15	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	12	appos	12:appos	MAN
16	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	15	amod	15:amod	dan-nu
17	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	12	appos	12:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	17	nmod:poss	17:nmod:poss	KIŠ
19	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	12	appos	12:appos	MAN
20	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	19	nmod:poss	19:nmod:poss	KUR
21	Aššur	Aššur	PROPN	GN	Gender=Masc	20	nmod:poss	20:nmod:poss	aš-šur
22	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	12	appos	12:appos	DUMU
23	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	22	nmod:poss	22:nmod:poss	10-ERIM.TAH₂
24	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	23	appos	23:appos	MAN
25	rabê	rabû	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	24	amod	24:amod	GAL-e
26	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	23	appos	23:appos	MAN
27	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	26	amod	26:amod	dan-nu
28	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	23	appos	23:appos	MAN
29	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	28	nmod:poss	28:nmod:poss	KIŠ
30	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	23	appos	23:appos	MAN
31	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	30	nmod:poss	30:nmod:poss	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	GN	Gender=Masc	31	nmod:poss	31:nmod:poss	aš-šur-ma
33	ma	_	PART	_	_	32	dep	32:dep	_

