# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004478-1
# text = lū ušamqit
1	lū	lū	PART	MOD	_	2	advmod:emph	2:advmod:emph	lu
2	ušamqit	maqātu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=S	0	root	0:root	u₂-šam-qit

# sent_id = Q004478-2
# text = ina rēṣūṭe ša Šamaš u Adad ilāni tiklēya ummānāt mātāt Nairi Habhi Šubare u Nirib kīma Adad rāhiṣi elišunu ašgum
1	ina	ina	ADP	PRP	_	2	case	2:case	ina
2	rēṣūṭe	rēṣūtu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	22	obl	22:obl	re-ṣu-te
3	ša	ša	ADP	DET	_	4	case	4:case	ša₂
4	Šamaš	Šamaš	PROPN	DN	Gender=Masc	2	nmod	2:nmod	{d}ša₂-maš
5	u	u	CCONJ	CNJ	_	6	cc	6:cc	u
6	Adad	Adad	PROPN	DN	Gender=Masc	4	conj	4:conj	{d}IŠKUR
7	ilāni	ilu	NOUN	N	Gender=Masc|Number=Plur	4	appos	4:appos	DINGIR.MEŠ
8-9	tiklēya	_	_	_	_	_	_	_	_
8	tiklē	tiklu	NOUN	N	Gender=Masc|NounBase=Suffixal|Number=Plur	4	appos	4:appos	tik-le-ia
9	ya	_	PRON	_	Number=Sing|Person=1	8	det:poss	8:det:poss	_
10	ummānāt	ummānu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Plur	22	obl	22:obl	ERIM.HI.A.MEŠ
11	mātāt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Plur	10	nmod:poss	10:nmod:poss	KUR.KUR
12	Nairi	Nairi	PROPN	GN	Case=Gen	11	nmod:poss	11:nmod:poss	na-i-ri
13	Habhi	Habhu-ša-betani	PROPN	GN	Case=Gen	12	conj	12:conj	{KUR}hab-hi
14	Šubare	Šubaru	PROPN	GN	Case=Gen	12	conj	12:conj	{KUR}šu-ba-re-e
15	u	u	CCONJ	CNJ	_	16	cc	16:cc	u
16	Nirib	Nirbu	PROPN	GN	Case=Gen	12	conj	12:conj	{KUR}ni-rib
17	kīma	kīma	ADP	PRP	_	18	case	18:case	GIM
18	Adad	Adad	PROPN	DN	Gender=Masc	22	obl	22:obl	{d}IŠKUR
19	rāhiṣi	rāhiṣu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	18	appos	18:appos	ra-hi-ṣi
20-21	elišunu	_	_	_	_	_	_	_	_
20	eli	eli	ADP	PRP	_	21	dep	21:dep	UGU-šu-nu
21	šunu	_	PRON	_	Gender=Masc|Number=Plur|Person=3	22	obl	22:obl	_
22	ašgum	šagāmu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	0	root	0:root	aš₂-gu-um

# sent_id = Q004478-3
# text = šarru ša ultu ebertān Idiqlat
1	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	MAN
2	ša	ša	PRON	REL	_	_	_	_	ša₂
3	ultu	ištu	ADP	PRP	_	4	case	4:case	TA
4	ebertān	ebertān	NOUN	AV	Gender=Fem|NounBase=Bound|Number=Sing	0	root	0:root	e-ber-tan
5	Idiqlat	Idiqlat	PROPN	WN	Gender=Fem	4	nmod:poss	4:nmod:poss	{ID₂}HAL.HAL

# sent_id = Q004478-4
# text = adi Labnana
1	adi	adi	ADP	PRP	_	2	case	2:case	a-di
2	Labnana	Labnana	PROPN	GN	_	0	root	0:root	{KUR}lab-na-na

