# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004493-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma kāšid ultu ebertān Idiqlat adi Labnana u Tamti-rabiti mātāti kalîšina ištu ṣīt Šamši adi ereb Šamši ana šēpīšu ušekniša
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	54	nsubj	54:nsubj	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	2	amod	2:amod	GAL
4	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	1	appos	1:appos	MAN
5	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	4	amod	4:amod	dan-nu
6	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	1	appos	1:appos	MAN
7	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	6	nmod:poss	6:nmod:poss	ŠU₂
8	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	1	appos	1:appos	MAN
9	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	8	nmod:poss	8:nmod:poss	KUR
10	Aššur	Aššur	PROPN	GN	Gender=Masc	9	nmod:poss	9:nmod:poss	AŠ
11	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	1	appos	1:appos	A
12	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	11	nmod:poss	11:nmod:poss	TUKUL-MAŠ
13	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	12	appos	12:appos	MAN
14	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	13	amod	13:amod	GAL
15	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	12	appos	12:appos	MAN
16	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	15	amod	15:amod	dan-nu
17	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	12	appos	12:appos	MAN
