# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004530-1
# text = maddattu ša {m}x-x kaspī hurāṣī annakī erî taphī erî x-x-x erî x-x-x.MEŠ lubulti birme u kitê amhur
1	maddattu	maddattu	NOUN	N	Case=Nom|Gender=Fem|NounBase=Free|Number=Sing	17	obj	17:obj	_
2	ša	ša	ADP	DET	_	3	case	3:case	_
3	{m}x-x	_	PROPN	u	Gender=Masc	1	nmod	1:nmod	_
4	kaspī	kaspu	NOUN	N	Gender=Masc|Number=Plur	1	appos	1:appos	_
5	hurāṣī	hurāṣu	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	_
6	annakī	annaku	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	_
7	erî	werû	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	_
8	taphī	taphu	NOUN	N	Gender=Masc|Number=Plur	4	conj	4:conj	_
9	erî	werû	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	8	nmod:poss	8:nmod:poss	_
10	x-x-x	_	NOUN	u	_	4	conj	4:conj	_
11	erî	werû	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	10	nmod:poss	10:nmod:poss	_
12	x-x-x.MEŠ	_	NOUN	u	Number=Plur	4	conj	4:conj	_
13	lubulti	lubuštu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	4	conj	4:conj	_
14	birme	birmu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	13	nmod:poss	13:nmod:poss	_
15	u	u	CCONJ	CNJ	_	16	cc	16:cc	_
16	kitê	kitû	NOUN	N	Gender=Masc|Number=Plur	14	conj	14:conj	_
17	amhur	mahāru	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	0	root	0:root	_

