# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004560-1
# text = ēkal Aššur-naṣir-apli šarru rabê šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	ēkal	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	_
2	Aššur-naṣir-apli	_	PROPN	_	Gender=M	1	nmod:poss	_	_
3	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	_
4	rabê	_	ADJ	_	Case=Gen|Gender=M|Number=Sg	3	amod	_	_
5	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	_
6	dannu	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	5	amod	_	_
7	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
8	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	7	nmod:poss	_	_
9	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
10	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	_	_
11	Aššur	_	PROPN	_	Gender=M	10	nmod:poss	_	_
12	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
13	Tukulti-Ninurta	_	PROPN	_	Gender=M	12	nmod:poss	_	_
14	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	_	_
15	rabê	_	ADJ	_	Case=Gen|Gender=M|Number=Sg	14	amod	_	_
16	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	_	_
17	dannu	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	16	amod	_	_
18	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
19	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	18	nmod:poss	_	_
20	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
21	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	20	nmod:poss	_	_
22	Aššur	_	PROPN	_	Gender=M	21	nmod:poss	_	_
23	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
24	Adad-nerari	_	PROPN	_	Gender=M	23	nmod:poss	_	_
25	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	_
26	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	25	nmod:poss	_	_
27	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	_
28	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	27	nmod:poss	_	_
29-30	Aššurma	_	X	_	_	_	_	_	_
29	Aššur	_	PROPN	_	Gender=M	28	nmod:poss	_	_
30	ma	_	PART	_	_	29	det	_	_

