# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004562-1
# text = ṣalam Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar māt Aššurma
1	ṣalam	ṣalmu	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	0	root	0:root	ṣa-lam
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}aš-šur-PAP-A
3	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	3	nmod:poss	3:nmod:poss	KIŠ
5	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
6	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	5	nmod:poss	5:nmod:poss	KUR
7	Aššur	Aššur	PROPN	GN	Gender=Masc	6	nmod:poss	6:nmod:poss	AŠ
8	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	8	nmod:poss	8:nmod:poss	{GIŠ}tukul-ti-{d}MAŠ
10	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	10	nmod:poss	10:nmod:poss	ŠU₂
12	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	MAN
13	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Gender=Masc	13	nmod:poss	13:nmod:poss	AŠ
15	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	15	nmod:poss	15:nmod:poss	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	16	appos	16:appos	MAN
18	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	17	nmod:poss	17:nmod:poss	KUR
19-20	Aššurma	_	_	_	_	_	_	_	_
19	Aššur	Aššur	PROPN	GN	Gender=Masc	18	nmod:poss	18:nmod:poss	AŠ-ma
20	ma	_	PART	_	_	19	dep	19:dep	_

