# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004567-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	_	PROPN	_	Gender=M	0	root	0:root	_
2	šakin	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
3	Enlil	_	PROPN	_	Gender=M	2	nmod:poss	_	_
4	iššak	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
5	Aššur	_	PROPN	_	Gender=M	4	nmod:poss	_	_
6	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	_
7	rabû	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	6	amod	_	_
8	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	_
9	dannu	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	8	amod	_	_
10	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
11	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	_	_
12	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
13	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	_	_
14	Aššur	_	PROPN	_	Gender=M	13	nmod:poss	_	_
15	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
16	Tukulti-Ninurta	_	PROPN	_	Gender=M	15	nmod:poss	_	_
17	šakin	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	_
18	Enlil	_	PROPN	_	Gender=M	17	nmod:poss	_	_
19	iššak	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	_
20	Aššur	_	PROPN	_	Gender=M	19	nmod:poss	_	_
21	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	_	_
22	rabû	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	21	amod	_	_
23	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	_	_
24	dannu	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	23	amod	_	_
25	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	_
26	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	25	nmod:poss	_	_
27	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	_
28	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	27	nmod:poss	_	_
29	Aššur	_	PROPN	_	Gender=M	28	nmod:poss	_	_
30	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	_
31	Adad-nerari	_	PROPN	_	Gender=M	30	nmod:poss	_	_
32	šakin	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	31	appos	_	_
33	Enlil	_	PROPN	_	Gender=M	32	nmod:poss	_	_
34	iššak	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	31	appos	_	_
35	Aššur	_	PROPN	_	Gender=M	34	nmod:poss	_	_
36	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	31	appos	_	_
37	rabû	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	36	amod	_	_
38	šarru	_	NOUN	_	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	31	appos	_	_
39	dannu	_	ADJ	_	Case=Nom|Gender=M|Number=Sg	38	amod	_	_
40	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	31	appos	_	_
41	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	40	nmod:poss	_	_
42	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	31	appos	_	_
43	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	42	nmod:poss	_	_
44-45	Aššurma	_	X	_	_	_	_	_	_
44	Aššur	_	PROPN	_	Gender=M	43	nmod:poss	_	_
45	ma	_	PART	_	_	44	det	_	_

