# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004568-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}aš-šur-PAP-A
3	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	3	nmod:poss	3:nmod:poss	KIŠ
5	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
6	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	5	nmod:poss	5:nmod:poss	KUR
7	Aššur	Aššur	PROPN	GN	Gender=Masc	6	nmod:poss	6:nmod:poss	AŠ
8	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	8	nmod:poss	8:nmod:poss	GISKIM-{d}MAŠ
10	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	9	appos	9:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	10	nmod:poss	10:nmod:poss	KIŠ
12	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	9	appos	9:appos	MAN
13	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Gender=Masc	13	nmod:poss	13:nmod:poss	AŠ
15	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	9	appos	9:appos	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	15	nmod:poss	15:nmod:poss	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	17	nmod:poss	17:nmod:poss	ŠU₂
19	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	MAN
20	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	19	nmod:poss	19:nmod:poss	KUR
21	Aššur	Aššur	PROPN	GN	Gender=Masc	20	nmod:poss	20:nmod:poss	AŠ
22	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	16	appos	16:appos	A
23	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=Masc	22	nmod:poss	22:nmod:poss	aš-šur-KAL-an
24	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	23	appos	23:appos	MAN
25	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	24	nmod:poss	24:nmod:poss	ŠU₂
26	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	23	appos	23:appos	MAN
27	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	26	nmod:poss	26:nmod:poss	KUR
28-29	Aššurma	_	_	_	_	_	_	_	_
28	Aššur	Aššur	PROPN	GN	Gender=Masc	27	nmod:poss	27:nmod:poss	AŠ-ma
29	ma	_	PART	_	_	28	dep	28:dep	_

