# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004570-1
# text = Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	_	PROPN	_	Gender=M	0	root	0:root	_
2	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
3	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	2	nmod:poss	_	_
4	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
5	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	4	nmod:poss	_	_
6	Aššur	_	PROPN	_	Gender=M	5	nmod:poss	_	_
7	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	_
8	Tukulti-Ninurta	_	PROPN	_	Gender=M	7	nmod:poss	_	_
9	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	_
10	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	9	nmod:poss	_	_
11	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	_
12	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	11	nmod:poss	_	_
13	Aššur	_	PROPN	_	Gender=M	12	nmod:poss	_	_
14	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	_
15	Adad-nerari	_	PROPN	_	Gender=M	14	nmod:poss	_	_
16	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	15	appos	_	_
17	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	16	nmod:poss	_	_
18	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	15	appos	_	_
19	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	18	nmod:poss	_	_
20-21	Aššurma	_	X	_	_	_	_	_	_
20	Aššur	_	PROPN	_	Gender=M	19	nmod:poss	_	_
21	ma	_	PART	_	_	20	det	_	_

