# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004578-1
# text = ēkal Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarri danni šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarri danni šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}aš-šur-PAP-A
3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	2	appos	2:appos	MAN
4	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	3:amod	GAL-u₂
5	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	2	appos	2:appos	MAN
6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	5	amod	5:amod	dan-nu
7	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	7	nmod:poss	7:nmod:poss	ŠU₂
9	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
10	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	Aššur	PROPN	GN	Gender=Masc	10	nmod:poss	10:nmod:poss	aš-šur
12	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	A
13	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	12	nmod:poss	12:nmod:poss	TUKUL-MAŠ
14	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	13	appos	13:appos	MAN
15	rabê	rabû	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	14	amod	14:amod	GAL-e
16	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	13	appos	13:appos	MAN
17	danni	dannu	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	16	amod	16:amod	dan-ni
18	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	13	appos	13:appos	MAN
19	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	18	nmod:poss	18:nmod:poss	ŠU₂
20	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	13	appos	13:appos	MAN
21	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	20	nmod:poss	20:nmod:poss	KUR
22	Aššur	Aššur	PROPN	GN	Gender=Masc	21	nmod:poss	21:nmod:poss	aš-šur
23	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	13	appos	13:appos	A
24	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	23	nmod:poss	23:nmod:poss	10-ERIM.TAH₂
25	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	24	appos	24:appos	MAN
26	rabê	rabû	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	25	amod	25:amod	GAL-e
27	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Nounbase=Free|Number=Sing	24	appos	24:appos	MAN
28	danni	dannu	ADJ	AJ	Case=Gen|Gender=Masc|Number=Sing	27	amod	27:amod	dan-ni
29	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	24	appos	24:appos	MAN
30	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	29	nmod:poss	29:nmod:poss	ŠU₂
31	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	24	appos	24:appos	MAN
32	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	31	nmod:poss	31:nmod:poss	KUR
33-34	Aššurma	_	_	_	_	_	_	_	_
33	Aššur	Aššur	PROPN	GN	Gender=Masc	32	nmod:poss	32:nmod:poss	aš-šur-ma
34	ma	_	PART	_	_	33	dep	33:dep	_

