# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004582-1
# text = Aššur-naṣir-apli šar māt Aššur mār Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	0	root	0:root	{m}aš-šur-PAP-A
2	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	MAN
3	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	7	nmod:poss	7:nmod:poss	KUR
4	Aššur	Aššur	PROPN	GN	Gender=Masc	3	nmod:poss	3:nmod:poss	AŠ
5	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	1	appos	1:appos	A
6	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	5	nmod:poss	5:nmod:poss	TUKUL-MAŠ
7	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	6	appos	6:appos	MAN
8	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	7	nmod:poss	7:nmod:poss	KUR
9	Aššur	Aššur	PROPN	GN	Gender=Masc	8	nmod:poss	8:nmod:poss	AŠ
10	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	6	appos	6:appos	A
11	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	10	nmod:poss	10:nmod:poss	10-ERIM.TAH₂
12	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	11	appos	11:appos	_
13	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	12	nmod:poss	12:nmod:poss	KUR
14-15	Aššurma	_	_	_	_	_	_	_	_
14	Aššur	Aššur	PROPN	GN	Gender=Masc	13	nmod:poss	13:nmod:poss	AŠ-ma
15	ma	_	PART	_	_	14	dep	14:dep	_

