# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006027-1
# text = ēkal Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	0	root	0:root	E₂.GAL
2	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}10-ERIM.TAH₂
3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	2:appos	MAN
4	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	3:amod	GAL-u₂
5	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	2:appos	MAN
6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	5	amod	5:amod	dan-nu
7	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	7	nmod:poss	7:nmod:poss	KIŠ
9	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
10	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	Aššur	PROPN	GN	Gender=Masc	10	nmod:poss	10:nmod:poss	aš-šur
12	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	DUMU
13	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=Masc	12	nmod:poss	12:nmod:poss	{m}aš-šur-KAL-an
14	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	13	appos	13:appos	MAN
15	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	14	nmod:poss	14:nmod:poss	KIŠ
16	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	13	appos	13:appos	MAN
17	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	16	nmod:poss	16:nmod:poss	KUR
18	Aššur	Aššur	PROPN	GN	Gender=Masc	17	nmod:poss	17:nmod:poss	aš-šur
19	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	13	appos	13:appos	DUMU
20	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Gender=Masc	19	nmod:poss	19:nmod:poss	{m}{GIŠ}tukul-ti-A-e₂-šar₂-ra
21	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	20	appos	20:appos	MAN
22	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	21	nmod:poss	21:nmod:poss	KIŠ
23	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	20	appos	20:appos	MAN
24	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	23	nmod:poss	23:nmod:poss	KUR
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	Aššur	PROPN	GN	Gender=Masc	24	nmod:poss	24:nmod:poss	aš-šur-ma
26	ma	_	PART	_	_	25	dep	25:dep	_

