# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006027-1
# text = ēkal Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ēkal	_	_	NOUN	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	_
2	Adad-nerari	_	_	PROPN	Gender=M	1	nmod:poss	_	_
3	šarru	_	_	NOUN	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	_
4	rabû	_	_	ADJ	Case=Nom|Gender=M|Number=Sg	3	amod	_	_
5	šarru	_	_	NOUN	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	_
6	dannu	_	_	ADJ	Case=Nom|Gender=M|Number=Sg	5	amod	_	_
7	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
8	kiššati	_	_	NOUN	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	7	nmod:poss	_	_
9	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
10	māt	_	_	NOUN	Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	_	_
11	Aššur	_	_	PROPN	Gender=M	10	nmod:poss	_	_
12	mār	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
13	Aššur-dan	_	_	PROPN	Gender=M	12	nmod:poss	_	_
14	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
15	kiššati	_	_	NOUN	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	14	nmod:poss	_	_
16	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
17	māt	_	_	NOUN	Gender=F|Nounbase=Bound|Number=Sg	16	nmod:poss	_	_
18	Aššur	_	_	PROPN	Gender=M	17	nmod:poss	_	_
19	mār	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	_
20	Tukulti-apil-Ešarra	_	_	PROPN	Gender=M	19	nmod:poss	_	_
21	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	20	appos	_	_
22	kiššati	_	_	NOUN	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	21	nmod:poss	_	_
23	šar	_	_	NOUN	Gender=M|Nounbase=Bound|Number=Sg	20	appos	_	_
24	māt	_	_	NOUN	Gender=F|Nounbase=Bound|Number=Sg	23	nmod:poss	_	_
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	_	_	PROPN	Gender=M	24	nmod:poss	_	_
26	ma	_	_	PART	_	25	det	_	_

