# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006029-1
# text = ṣalam Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ṣalam	ṣalmu	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	0	root	0:root	ṣa-lam
2	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}{d}10-ERIM.TAH₂
3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	2:appos	MAN
4	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	3:amod	dan-nu
5	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
6	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	5	nmod:poss	5:nmod:poss	KIŠ
7	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	MAN
8	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	7	nmod:poss	7:nmod:poss	KUR
9	Aššur	Aššur	PROPN	GN	Gender=Masc	8	nmod:poss	8:nmod:poss	AŠ
10	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	2:appos	A
11	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=Masc	10	nmod:poss	10:nmod:poss	AŠ-KAL-an
12	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	11	appos	11:appos	MAN
13	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	12	nmod:poss	12:nmod:poss	KIŠ
14	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	11	appos	11:appos	MAN
15	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	14	nmod:poss	14:nmod:poss	KUR
16	Aššur	Aššur	PROPN	GN	Gender=Masc	15	nmod:poss	15:nmod:poss	AŠ
17	mār	māru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	11	appos	11:appos	A
18	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Gender=Masc	17	nmod:poss	17:nmod:poss	GISKIM-A-e₂-šar₂-ra
19	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	18	appos	18:appos	MAN
20	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	19	nmod:poss	19:nmod:poss	KIŠ
21	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	18	appos	18:appos	MAN
22	māt	mātu	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	21	nmod:poss	21:nmod:poss	KUR
23-24	Aššurma	_	_	_	_	_	_	_	_
23	Aššur	Aššur	PROPN	GN	Gender=Masc	22	nmod:poss	22:nmod:poss	AŠ-ma
24	ma	_	PART	_	_	23	dep	23:dep	_

