# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006043-1
# text = ēkal Tukulti-Ninurta šarri danni šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššurma
1	ēkal	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	_
2	Tukulti-Ninurta	_	PROPN	_	Gender=M	1	nmod:poss	_	_
3	šarri	_	NOUN	_	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	_
4	danni	_	ADJ	_	Case=Gen|Gender=M|Number=Sg	3	amod	_	_
5	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
6	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	5	nmod:poss	_	_
7	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
8	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	7	nmod:poss	_	_
9	Aššur	_	PROPN	_	Gender=M	8	nmod:poss	_	_
10	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	_
11	Adad-nerari	_	PROPN	_	Gender=M	10	nmod:poss	_	_
12	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	11	appos	_	_
13	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	12	nmod:poss	_	_
14	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	11	appos	_	_
15	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	14	nmod:poss	_	_
16	Aššur	_	PROPN	_	Gender=M	15	nmod:poss	_	_
17	mār	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	11	appos	_	_
18	Aššur-dan	_	PROPN	_	Gender=M	17	nmod:poss	_	_
19	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	18	appos	_	_
20	kiššati	_	NOUN	_	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	19	nmod:poss	_	_
21	šar	_	NOUN	_	Gender=M|Nounbase=Bound|Number=Sg	18	appos	_	_
22	māt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Sg	21	nmod:poss	_	_
23-24	Aššurma	_	X	_	_	_	_	_	_
23	Aššur	_	PROPN	_	Gender=M	22	nmod:poss	_	_
24	ma	_	PART	_	_	23	det	_	_

