# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006046-1
# text = ēkal Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	0	root	0:root	E₂.GAL
2	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=Masc	1	nmod:poss	1:nmod:poss	{m}GISKIM-{d}MAŠ
3	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	3	nmod:poss	3:nmod:poss	KIŠ
5	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	MAN
6	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	5	nmod:poss	5:nmod:poss	KUR
7	Aššur	Aššur	PROPN	GN	Gender=Masc	6	nmod:poss	6:nmod:poss	AŠ
8	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	2	appos	2:appos	A
9	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	8	nmod:poss	8:nmod:poss	10-ERIM.TAH₂
10	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	10	nmod:poss	10:nmod:poss	KIŠ
12	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	MAN
13	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Gender=Masc	13	nmod:poss	13:nmod:poss	AŠ
15	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	9	appos	9:appos	A
16	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=Masc	15	nmod:poss	15:nmod:poss	aš-šur-KAL-an
17	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	16	appos	16:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	17	nmod:poss	17:nmod:poss	KIŠ
19	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	16	appos	16:appos	MAN
20	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	19	nmod:poss	19:nmod:poss	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=Masc	20	nmod:poss	20:nmod:poss	AŠ-ma
22	ma	_	PART	_	_	21	dep	21:dep	_

