# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004463-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL-u₂
4	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
5	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	4	amod	4:amod	dan-nu
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
7	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	6	nmod:poss	6:nmod:poss	KIŠ
8	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
9	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	8	nmod:poss	8:nmod:poss	KUR
10	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	9	nmod:tmod	9:nmod:tmod	aš-šur
11	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	DUMU
12	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	11	nmod:poss	11:nmod:poss	TUKUL-MAŠ
13	šarri	šarru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	12	appos	12:appos	MAN
14	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	13	amod	13:amod	GAL-e
15	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	12	appos	12:appos	MAN
16	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	15	amod	15:amod	dan-nu
17	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	17:nmod:poss	KIŠ
19	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	MAN
20	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	19:nmod:poss	KUR
21	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	20	nmod:poss	20:nmod:poss	aš-šur
22	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	DUMU
23	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	22	nmod:poss	22:nmod:poss	10-ERIM.TAH₂
24	šarri	šarru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	23	appos	23:appos	MAN
25	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	24	amod	24:amod	GAL-e
26	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	23	appos	23:appos	MAN
27	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	26	amod	26:amod	dan-nu
28	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	23:appos	MAN
29	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	28	nmod:poss	28:nmod:poss	KIŠ
30	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	23:appos	MAN
31	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	30	nmod:poss	30:nmod:poss	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	31	nmod:poss	31:nmod:poss	aš-šur-ma
33	ma	_	PART	_	_	32	det	32:det	_

