# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004493-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma kāšid ultu ebertān Idiqlat adi Labnana u Tamti-rabiti mātāti kalîšina ištu ṣīt Šamši adi ereb Šamši ana šēpīšu ušekniša
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	54	nsubj	_	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	_	GAL
4	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	MAN
5	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	4	amod	_	dan-nu
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	MAN
7	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	6	nmod:poss	_	ŠU₂
8	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	MAN
9	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	8	nmod:poss	_	KUR
10	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	9	nmod:poss	_	AŠ
11	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	A
12	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	11	nmod:poss	_	TUKUL-MAŠ
13	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	12	appos	_	MAN
14	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	13	amod	_	GAL
15	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	12	appos	_	MAN
16	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	15	amod	_	dan-nu
17	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	_	ŠU₂
19	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	_	MAN
20	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	_	KUR
21	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	20	nmod:poss	_	AŠ
22	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	_	A
23	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	22	nmod:poss	_	10-ERIM.TAH₂
24	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	23	appos	_	MAN
25	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	24	amod	_	GAL
26	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	23	appos	_	MAN
27	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	26	amod	_	dan-nu
28	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	_	MAN
29	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	28	nmod:poss	_	ŠU₂
30	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	_	MAN
31	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	30	nmod:poss	_	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	31	nmod:poss	_	aš-šur-ma
33	ma	_	PART	_	_	32	det	_	_
34	kāšid	kāšidu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	ka-šid
35	ultu	ištu	ADP	PRP	_	36	case	_	TA
36	ebertān	ebertān	NOUN	AV	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	34	obl	_	e-ber-ta-an
37	Idiqlat	Idiqlat	PROPN	WN	Case=Undefined|Gender=F	36	nmod:poss	_	{ID₂}HAL.HAL
38	adi	adi	ADP	PRP	_	39	case	_	a-di
39	Labnana	Labnana	PROPN	GN	Case=Undefined|Gender=Undefined	34	obl	_	{KUR}lab-na-na
40	u	u	CCONJ	CNJ	_	41	cc	_	u
41	Tamti-rabiti	Tamtu-rabitu	PROPN	WN	Case=Undefined|Gender=F	39	conj	_	A.AB.BA-GAL-ti
42	mātāti	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	54	obj	_	KUR.KUR.MEŠ
43-44	kalîšina	_	_	_	_	_	_	_	_
43	kalî	kalû	DET	N	_	42	amod	_	DU₃-ši-na
44	šina	_	PRON	_	Gender=F|Number=Pl|Person=3	43	det	_	_
45	ištu	ištu	ADP	PRP	_	46	case	_	iš-tu
46	ṣīt	ṣītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	54	obl	_	_
47	Šamši	Šamaš	PROPN	DN	Case=Gen|Gender=M	46	nmod:poss	_	{d}šam-ši
48	adi	adi	ADP	PRP	_	50	case	_	a-di
49	ereb	erbu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	54	obl	_	e-reb
50	Šamši	Šamši-Adad_I	PROPN	RN	Case=Gen|Gender=M	49	nmod:poss	_	_
51	ana	ana	ADP	PRP	_	52	case	_	a-na
52-53	šēpīšu	_	_	_	_	_	_	_	_
52	šēpī	šēpu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	54	obl	_	GIR₃.II-šu₂
53	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	52	det	_	_
