# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004493-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma kāšid ultu ebertān Idiqlat adi Labnana u Tamti-rabiti mātāti kalîšina ištu ṣīt Šamši adi ereb Šamši ana šēpīšu ušekniša
1	Aššur-naṣir-apli	_	PROPN	RN	Case=Undefined|Gender=M	54	nsubj	54:nsubj	{m}aš-šur-PAP-A
2	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
3	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	2:amod	GAL
4	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
5	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	4	amod	4:amod	dan-nu
6	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
7	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	6	nmod:poss	6:nmod:poss	ŠU₂
8	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
9	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	8	nmod:poss	8:nmod:poss	KUR
10	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	9	nmod:poss	9:nmod:poss	AŠ
11	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	A
12	Tukulti-Ninurta	_	PROPN	RN	Case=Undefined|Gender=M	11	nmod:poss	11:nmod:poss	TUKUL-MAŠ
13	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	12	appos	12:appos	MAN
14	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	13	amod	13:amod	GAL
15	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	12	appos	12:appos	MAN
