# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004557-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma kisirtu ša bīti šanê
1	ēkal	ēkallu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Number=Sg|Gender=F|Nounbase=Free|Case=Gen	3	nmod:poss	_	ŠU₂
5	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	MAN
6	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	aš-šur
8	mār	māru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	DUMU
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	GISKIM-{d}MAŠ
10	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Number=Sg|Gender=F|Nounbase=Free|Case=Gen	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	MAN
13	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	aš-šur
15	mār	māru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	DUMU
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	15	nmod:poss	_	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	16	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Number=Sg|Gender=F|Nounbase=Free|Case=Gen	17	nmod:poss	_	ŠU₂
19	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	16	appos	_	MAN
20	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	19	nmod:poss	_	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	aš-šur-ma
22	ma	_	_	PART	_	21	det	_	_
23	kisirtu	kisirtu	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=F	_	_	_	ki-sir-tu
24	ša	ša	ADP	DET	_	25	case	_	ša₂
25	bīti	bītu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	23	nmod	_	_
26	šanê	šanû	NOUN	AJ	Case=Gen|Nounbase=Free|Number=Sg|Gender=M	25	nmod:poss	_	2-e
