# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004558-1
# text = ēkal Aššur-naṣir-apli iššak Aššur nišīt Enlil u Ninurta narām Ani u Dagan kašūš ilāni rabûti šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarri danni šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	iššak	iššiakku	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	ŠID
4	Aššur	Aššur	PROPN	DN	Gender=M	3	nmod:poss	_	aš-šur
5	nišīt	nišītu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	2	appos	_	ni-šit
6	Enlil	Enlil	PROPN	DN	Gender=M	5	nmod:poss	_	{d}BAD
7	u	u	CCONJ	CNJ	_	8	cc	_	u
8	Ninurta	Ninurta	PROPN	DN	Gender=M	6	conj	_	{d}MAŠ
9	narām	narāmu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	na-ra-am
10	Ani	An	PROPN	DN	Case=Gen|Gender=M	9	nmod:poss	_	_
11	u	u	CCONJ	CNJ	_	12	cc	_	u
12	Dagan	Dagan	PROPN	DN	Gender=M	10	conj	_	{d}da-gan
13	kašūš	kašūšu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	ka-šu-uš
14	ilāni	ilu	NOUN	N	Gender=M|Number=Pl	13	nmod:poss	_	DINGIR.MEŠ
15	rabûti	rabû	ADJ	AJ	Gender=M|Number=Pl	14	amod	_	GAL.MEŠ
16	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	_	MAN
17	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	16	amod	_	dan-nu
18	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
19	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	18	nmod:poss	_	ŠU₂
20	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
21	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	20	nmod:poss	_	KUR
22	Aššur	Aššur	PROPN	GN	Gender=M	21	nmod:poss	_	aš-šur
23	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	A
24	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	23	nmod:poss	_	TUKUL-MAŠ
25	šarri	šarru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	24	appos	_	MAN
26	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	25	amod	_	GAL-e
27	šarri	šarru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	24	appos	_	MAN
28	danni	dannu	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	27	amod	_	dan-ni
29	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	MAN
30	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	29	nmod:poss	_	ŠU₂
31	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	MAN
32	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	31	nmod:poss	_	KUR
33	Aššur	Aššur	PROPN	GN	Gender=M	32	nmod:poss	_	aš-šur
34	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	24	appos	_	A
35	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	34	nmod:poss	_	10-ERIM.TAH₂
36	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	35	appos	_	MAN
37	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	36	nmod:poss	_	ŠU₂
38	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	35	appos	_	MAN
39	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	38	nmod:poss	_	KUR
40-41	Aššurma	_	_	_	_	_	_	_	_
40	Aššur	Aššur	PROPN	GN	Gender=M	39	nmod:poss	_	aš-šur-ma
41	ma	_	PART	_	_	40	det	_	_
