# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004559-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur ma
1	ēkal	ēkallu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Nounbase=Free|Case=Gen|Gender=F|Number=Sg	3	nmod:poss	_	ŠU₂
5	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
6	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	aš-šur
8	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	TUKUL-MAŠ
10	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	MAN
11	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	10	nmod:poss	_	KUR
12	Aššur	Aššur	PROPN	GN	Gender=M	11	nmod:poss	_	AŠ
13	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	A
14	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	13	nmod:poss	_	{d}IŠKUR-ERIM.TAH₂
15	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	MAN
16	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	15	nmod:poss	_	KUR
17-18	Aššurma	_	_	_	_	_	_	_	_
17	Aššur	Aššur	PROPN	GN	Gender=M	16	nmod:poss	_	AŠ-ma
18	ma	_	_	PART	_	17	det	_	_
