# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004560-1
# text = ēkal Aššur-naṣir-apli šarru rabê šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}aš-šur-PAP-A
3	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
4	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	3	amod	3:amod	GAL-e
5	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	5	amod	5:amod	dan-nu
7	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	7	nmod:poss	7:nmod:poss	ŠU₂
9	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
10	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	aš-šur
12	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	DUMU
13	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	12	nmod:poss	12:nmod:poss	GISKIM-{d}nin-urta
14	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	13:appos	MAN
15	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	14	amod	14:amod	GAL-e
16	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	13	appos	13:appos	MAN
17	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	16	amod	16:amod	dan-nu
18	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	MAN
19	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	18	nmod:poss	18:nmod:poss	ŠU₂
20	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	MAN
21	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	20	nmod:poss	20:nmod:poss	KUR
22	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	21	nmod:poss	21:nmod:poss	aš-šur
23	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	DUMU
24	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	23	nmod:poss	23:nmod:poss	10-ERIM.TAH₂
25	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	24	appos	24:appos	MAN
26	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	25	nmod:poss	25:nmod:poss	ŠU₂
27	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	24	appos	24:appos	MAN
28	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	27	nmod:poss	27:nmod:poss	KUR
29-30	Aššurma	_	_	_	_	_	_	_	_
29	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	28	nmod:poss	28:nmod:poss	aš-šur-ma
30	ma	_	PART	_	_	29	det	29:det	_

