# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004562-1
# text = ṣalam Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar māt Aššurma
1	ṣalam	ṣalmu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	ṣa-lam
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	3	nmod:poss	_	KIŠ
5	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
6	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	AŠ
8	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	{GIŠ}tukul-ti-{d}MAŠ
10	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	MAN
13	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	AŠ
15	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	15	nmod:poss	_	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
18	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	17	nmod:poss	_	KUR
19-20	Aššurma	_	_	_	_	_	_	_	_
19	Aššur	Aššur	PROPN	GN	Gender=M	18	nmod:poss	_	AŠ-ma
20	ma	_	PART	_	_	19	det	_	_
