# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004565-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma ša bīt Ištar ša Ninua bēltiya ēpušma arṣip
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	_	_	_	{m}aš-šur-PAP-A
2	šakin	šaknu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	GAR
3	Enlil	Enlil	PROPN	DN	Gender=M	2	nmod:poss	_	{d}BAD
4	iššak	iššiakku	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	ŠID
5	Aššur	Aššur	PROPN	DN	Gender=M	4	nmod:poss	_	aš-šur
6	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	1	appos	_	MAN
7	rabû	rabû	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	6	amod	_	GAL
8	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	1	appos	_	MAN
9	dannu	dannu	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	8	amod	_	dan-nu
10	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Gender=F|Nounbase=Free|Case=Gen|Number=Sg	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	MAN
13	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	aš-šur
15	mār	māru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	A
16	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	15	nmod:poss	_	TUKUL-MAŠ
17	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	16	appos	_	MAN
18	rabû	rabû	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	17	amod	_	GAL
19	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	16	appos	_	MAN
20	dannu	dannu	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	19	amod	_	dan-nu
21	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	MAN
22	kiššati	kiššatu	NOUN	N	Gender=F|Nounbase=Free|Case=Gen|Number=Sg	21	nmod:poss	_	ŠU₂
23	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	MAN
24	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	23	nmod:poss	_	KUR
25	Aššur	Aššur	PROPN	GN	Gender=M	24	nmod:poss	_	aš-šur
26	mār	māru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	A
27	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	26	nmod:poss	_	10-ERIM.TAH₂
28	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	27	appos	_	MAN
29	rabû	rabû	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	28	amod	_	GAL
30	šarru	šarru	NOUN	N	Gender=M|Nounbase=Free|Case=Nom|Number=Sg	27	appos	_	MAN
31	dannu	dannu	ADJ	AJ	Gender=M|Case=Nom|Number=Sg	30	amod	_	dan-nu
32	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	27	appos	_	MAN
33	kiššati	kiššatu	NOUN	N	Gender=F|Nounbase=Free|Case=Gen|Number=Sg	32	nmod:poss	_	ŠU₂
34	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	27	appos	_	MAN
35	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	34	nmod:poss	_	KUR
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	GN	Gender=M	35	nmod:poss	_	aš-šur-ma
37	ma	_	_	PART	_	36	det	_	_
38	ša	ša	SCONJ	DET	_	45	mark	_	ša₂
39	bīt	bītu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	47	obj	_	E₂
40	Ištar	Ištar	PROPN	DN	Gender=F	39	nmod:poss	_	{d}INANNA
41	ša	ša	ADP	DET	_	42	case	_	ša₂
42	Ninua	Ninua	PROPN	SN	_	40	nmod	_	{URU}ni-nu-a
43-44	bēltiya	_	_	_	_	_	_	_	_
43	bēlti	bēltu	NOUN	N	Nounbase=Suffixal|Number=Sg|Gender=F	40	appos	_	GAŠAN-ia
44	ya	_	_	PRON	Person=1|Number=Sg	43	det	_	_
45-46	ēpušma	_	_	_	_	_	_	_	_
45	ēpuš	epēšu	VERB	V	Verbstem=G|Person=1|Tense=Preterit|Number=Sg|Mood=Indicative	_	_	_	DU₃-ma
46	ma	_	_	CONJ	_	47	cc	_	_
47	arṣip	raṣāpu	VERB	V	Verbstem=G|Person=1|Tense=Preterit|Number=Sg|Mood=Indicative	45	conj	_	ar-ṣip
