# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004567-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	_	_	_	{m}aš-šur-PAP-A
2	šakin	šaknu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	GAR
3	Enlil	Enlil	PROPN	DN	Gender=M	2	nmod:poss	_	{d}BAD
4	iššak	iššiakku	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	ŠID
5	Aššur	Aššur	PROPN	DN	Gender=M	4	nmod:poss	_	aš-šur
6	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	1	appos	_	MAN
7	rabû	rabû	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	6	amod	_	GAL
8	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	1	appos	_	MAN
9	dannu	dannu	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	8	amod	_	dan-nu
10	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Number=Sg|Nounbase=Free|Gender=F|Case=Gen	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	MAN
13	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	aš-šur
15	mār	māru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	1	appos	_	DUMU
16	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	15	nmod:poss	_	{m}{GIŠ}tukul-ti-{d}MAŠ
17	šakin	šaknu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	GAR
18	Enlil	Enlil	PROPN	DN	Gender=M	17	nmod:poss	_	{d}BAD
19	iššak	iššiakku	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	ŠID
20	Aššur	Aššur	PROPN	DN	Gender=M	19	nmod:poss	_	aš-šur
21	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	16	appos	_	MAN
22	rabû	rabû	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	21	amod	_	GAL
23	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	16	appos	_	MAN
24	dannu	dannu	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	23	amod	_	dan-nu
25	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	MAN
26	kiššati	kiššatu	NOUN	N	Number=Sg|Nounbase=Free|Gender=F|Case=Gen	25	nmod:poss	_	ŠU₂
27	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	MAN
28	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	27	nmod:poss	_	KUR
29	Aššur	Aššur	PROPN	GN	Gender=M	28	nmod:poss	_	aš-šur
30	mār	māru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	16	appos	_	DUMU
31	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	30	nmod:poss	_	{m}{d}IŠKUR-ERIM.TAH₂
32	šakin	šaknu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	31	appos	_	GAR
33	Enlil	Enlil	PROPN	DN	Gender=M	32	nmod:poss	_	{d}BAD
34	iššak	iššiakku	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	31	appos	_	ŠID
35	Aššur	Aššur	PROPN	DN	Gender=M	34	nmod:poss	_	aš-šur
36	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	31	appos	_	MAN
37	rabû	rabû	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	36	amod	_	GAL
38	šarru	šarru	NOUN	N	Number=Sg|Nounbase=Free|Gender=M|Case=Nom	31	appos	_	MAN
39	dannu	dannu	ADJ	AJ	Number=Sg|Gender=M|Case=Nom	38	amod	_	dan-nu
40	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	31	appos	_	MAN
41	kiššati	kiššatu	NOUN	N	Number=Sg|Nounbase=Free|Gender=F|Case=Gen	40	nmod:poss	_	ŠU₂
42	šar	šarru	NOUN	N	Number=Sg|Nounbase=Bound|Gender=M	31	appos	_	MAN
43	māt	mātu	NOUN	N	Number=Sg|Nounbase=Bound|Gender=F	42	nmod:poss	_	KUR
44-45	Aššurma	_	_	_	_	_	_	_	_
44	Aššur	Aššur	PROPN	GN	Gender=M	43	nmod:poss	_	aš-šur-ma
45	ma	_	_	PART	_	44	det	_	_
