# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004567-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	_	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-PAP-A
2	šakin	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	GAR
3	Enlil	_	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	{d}BAD
4	iššak	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	ŠID
5	Aššur	_	PROPN	DN	Case=Undefined|Gender=M	4	nmod:poss	4:nmod:poss	aš-šur
6	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
7	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	6	amod	6:amod	GAL
8	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
9	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	8	amod	8:amod	dan-nu
10	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
11	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	10:nmod:poss	ŠU₂
12	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
13	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	13	nmod:poss	13:nmod:poss	aš-šur
15	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	DUMU
16	Tukulti-Ninurta	_	PROPN	RN	Case=Undefined|Gender=M	15	nmod:poss	15:nmod:poss	{m}{GIŠ}tukul-ti-{d}MAŠ
17	šakin	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	GAR
18	Enlil	_	PROPN	DN	Case=Undefined|Gender=M	17	nmod:poss	17:nmod:poss	{d}BAD
19	iššak	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	ŠID
20	Aššur	_	PROPN	DN	Case=Undefined|Gender=M	19	nmod:poss	19:nmod:poss	aš-šur
21	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	16:appos	MAN
22	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	21	amod	21:amod	GAL
23	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	16:appos	MAN
24	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	23	amod	23:amod	dan-nu
25	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
26	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	25	nmod:poss	25:nmod:poss	ŠU₂
27	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
28	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	27	nmod:poss	27:nmod:poss	KUR
29	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	28	nmod:poss	28:nmod:poss	aš-šur
30	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	DUMU
31	Adad-nerari	_	PROPN	RN	Case=Undefined|Gender=M	30	nmod:poss	30:nmod:poss	{m}{d}IŠKUR-ERIM.TAH₂
32	šakin	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	31	appos	31:appos	GAR
33	Enlil	_	PROPN	DN	Case=Undefined|Gender=M	32	nmod:poss	32:nmod:poss	{d}BAD
34	iššak	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	31	appos	31:appos	ŠID
35	Aššur	_	PROPN	DN	Case=Undefined|Gender=M	34	nmod:poss	34:nmod:poss	aš-šur
36	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	31	appos	31:appos	MAN
37	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	36	amod	36:amod	GAL
38	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	31	appos	31:appos	MAN
39	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	38	amod	38:amod	dan-nu
40	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	31	appos	31:appos	MAN
41	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	40	nmod:poss	40:nmod:poss	ŠU₂
42	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	31	appos	31:appos	MAN
43	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	42	nmod:poss	42:nmod:poss	KUR
44-45	Aššurma	_	_	_	_	_	_	_	_
44	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	43	nmod:poss	43:nmod:poss	aš-šur-ma
45	ma	_	PART	_	_	44	det	44:det	_

