# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004569-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}AŠ-PAP-A
3	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	3	nmod:poss	3:nmod:poss	ŠU₂
5	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
6	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	5	nmod:poss	5:nmod:poss	KUR
7	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	6	nmod:poss	6:nmod:poss	AŠ
8	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	TUKUL-MAŠ
10	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	10:nmod:poss	ŠU₂
12	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	MAN
13	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	13	nmod:poss	13:nmod:poss	AŠ
15	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	15	nmod:poss	15:nmod:poss	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	17:nmod:poss	ŠU₂
19	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
20	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	19:nmod:poss	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	20	nmod:poss	20:nmod:poss	AŠ-ma
22	ma	_	PART	_	_	21	det	21:det	_

