# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004572-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	0	root	0:root	{m}aš-šur-PAP-A
2	šakin	šaknu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	GAR
3	Enlil	Enlil	PROPN	DN	Gender=M	2	nmod:poss	_	{d}BAD
4	iššak	iššiakku	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	ŠID
5	Aššur	Aššur	PROPN	DN	Gender=M	4	nmod:poss	_	aš-šur
6	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	MAN
7	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	6	amod	_	GAL
8	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	MAN
9	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	8	amod	_	dan-nu
10	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	MAN
13	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	aš-šur
15	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	DUMU
16	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	15	nmod:poss	_	{GIŠ}tukul-ti-{d}MAŠ
17	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	_	MAN
18	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	17	amod	_	GAL
19	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	_	MAN
20	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	19	amod	_	dan-nu
21	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
22	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	21	nmod:poss	_	ŠU₂
23	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
24	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	23	nmod:poss	_	KUR
25	Aššur	Aššur	PROPN	GN	Gender=M	24	nmod:poss	_	aš-šur
26	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	DUMU
27	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	26	nmod:poss	_	{m}{d}IŠKUR-ERIM.TAH₂
28	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	27	appos	_	MAN
29	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	28	amod	_	GAL
30	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	27	appos	_	MAN
31	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	30	amod	_	dan-nu
32	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	27	appos	_	MAN
33	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	32	nmod:poss	_	ŠU₂
34	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	27	appos	_	MAN
35	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	34	nmod:poss	_	KUR
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	GN	Gender=M	35	nmod:poss	_	aš-šur-ma
37	ma	_	PART	_	_	36	det	_	_
