# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004572-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-PAP-A
2	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	GAR
3	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	{d}BAD
4	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	ŠID
5	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	4	nmod:poss	4:nmod:poss	aš-šur
6	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
7	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	6	amod	6:amod	GAL
8	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	1:appos	MAN
9	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	8	amod	8:amod	dan-nu
10	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	10:nmod:poss	ŠU₂
12	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
13	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	13	nmod:poss	13:nmod:poss	aš-šur
15	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	DUMU
16	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	15	nmod:poss	15:nmod:poss	{GIŠ}tukul-ti-{d}MAŠ
17	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	16:appos	MAN
18	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	17	amod	17:amod	GAL
19	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	16	appos	16:appos	MAN
20	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	19	amod	19:amod	dan-nu
21	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
22	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	21	nmod:poss	21:nmod:poss	ŠU₂
23	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
24	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	23	nmod:poss	23:nmod:poss	KUR
25	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	24	nmod:poss	24:nmod:poss	aš-šur
26	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	DUMU
27	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	26	nmod:poss	26:nmod:poss	{m}{d}IŠKUR-ERIM.TAH₂
28	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	27	appos	27:appos	MAN
29	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	28	amod	28:amod	GAL
30	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	27	appos	27:appos	MAN
31	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	30	amod	30:amod	dan-nu
32	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	27	appos	27:appos	MAN
33	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	32	nmod:poss	32:nmod:poss	ŠU₂
34	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	27	appos	27:appos	MAN
35	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	34	nmod:poss	34:nmod:poss	KUR
36-37	Aššurma	_	_	_	_	_	_	_	_
36	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	35	nmod:poss	35:nmod:poss	aš-šur-ma
37	ma	_	PART	_	_	36	det	36:det	_

