# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004579-1
# text = ēkal Aššur-naṣir-apli šar māt Aššur mār Tukulti-Ninurta šar māt Aššur mār Adad-nerari šar māt Aššur ma
1	ēkal	ēkallu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}AŠ-PAP-A
3	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
4	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	3	nmod:poss	_	KUR
5	Aššur	Aššur	PROPN	GN	Gender=M	4	nmod:poss	_	AŠ
6	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	A
7	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	6	nmod:poss	_	TUKUL-MAŠ
8	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	7	appos	_	MAN
9	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	8	nmod:poss	_	KUR
10	Aššur	Aššur	PROPN	GN	Gender=M	9	nmod:poss	_	AŠ
11	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	7	appos	_	A
12	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	11	nmod:poss	_	10-ERIM.TAH₂
13	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	12	appos	_	MAN
14	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	13	nmod:poss	_	KUR
15-16	Aššurma	_	_	_	_	_	_	_	_
15	Aššur	Aššur	PROPN	GN	Gender=M	14	nmod:poss	_	AŠ-ma
16	ma	_	_	PART	_	15	det	_	_
