# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004581-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur mār Adad-nerari šakin Enlil iššak Aššur
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}AŠ-PAP-A
2	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	GAR
3	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	_	{d}BAD
4	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	ŠID
5	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	4	nmod:poss	_	AŠ
6	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	A
7	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	6	nmod:poss	_	TUKUL-MAŠ
8	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	_	GAR
9	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	8	nmod:poss	_	{d}BAD
10	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	_	ŠID
11	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	10	nmod:poss	_	AŠ
12	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	_	A
13	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	12	nmod:poss	_	10-ERIM.TAH₂
14	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	GAR
15	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	14	nmod:poss	_	{d}BAD
16	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	_	ŠID
17	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	16	nmod:poss	_	AŠ
