# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004581-1
# text = Aššur-naṣir-apli šakin Enlil iššak Aššur mār Tukulti-Ninurta šakin Enlil iššak Aššur mār Adad-nerari šakin Enlil iššak Aššur
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}AŠ-PAP-A
2	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	GAR
3	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	{d}BAD
4	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	ŠID
5	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	4	nmod:poss	4:nmod:poss	AŠ
6	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	A
7	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	6	nmod:poss	6:nmod:poss	TUKUL-MAŠ
8	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	7:appos	GAR
9	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	{d}BAD
10	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	7:appos	ŠID
11	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	AŠ
12	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	7:appos	A
13	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	12	nmod:poss	12:nmod:poss	10-ERIM.TAH₂
14	šakin	šaknu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	GAR
15	Enlil	Enlil	PROPN	DN	Case=Undefined|Gender=M	14	nmod:poss	14:nmod:poss	{d}BAD
16	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	ŠID
17	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	16	nmod:poss	16:nmod:poss	AŠ

