# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004584-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma makkūr bīt Ninurta
1	ēkal	ēkallu	NOUN	N	Nounbase=Bound|Gender=F|Number=Sg	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}AŠ-PAP-A
3	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	3	nmod:poss	_	ŠU₂
5	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	2	appos	_	MAN
6	māt	mātu	NOUN	N	Nounbase=Bound|Gender=F|Number=Sg	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	AŠ
8	mār	māru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	2	appos	_	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	TUKUL-MAŠ
10	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	9	appos	_	MAN
13	māt	mātu	NOUN	N	Nounbase=Bound|Gender=F|Number=Sg	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	AŠ
15	mār	māru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	9	appos	_	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	15	nmod:poss	_	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	16	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	17	nmod:poss	_	ŠU₂
19	šar	šarru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	16	appos	_	MAN
20	māt	mātu	NOUN	N	Nounbase=Bound|Gender=F|Number=Sg	19	nmod:poss	_	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	AŠ-ma
22	ma	_	_	PART	_	21	det	_	_
23	makkūr	makkūru	NOUN	N	Nounbase=Bound|Gender=M|Number=Sg	_	_	_	NIG₂.GA
24	bīt	bītu	NOUN	N	Nounbase=Bound|Gender=F|Number=Sg	23	nmod:poss	_	E₂
25	Ninurta	Ninurta	PROPN	DN	Gender=M	24	nmod:poss	_	{d}MAŠ
