# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004589-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššurma ša bīt Ištar ša Ninua ēpušma arṣip
1	ēkal	ēkallu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}AŠ-PAP-A
3	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	3	nmod:poss	_	ŠU₂
5	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
6	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	AŠ
8	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	TUKUL-MAŠ
10	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	MAN
13	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:tmod	_	AŠ
15	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	9	appos	_	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	15	nmod:poss	_	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	16	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	17	nmod:poss	_	ŠU₂
19	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	16	appos	_	MAN
20	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	19	nmod:poss	_	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	AŠ-ma
22	ma	_	_	PART	_	21	det	_	_
23	ša	ša	SCONJ	DET	_	28	mark	_	ša₂
24	bīt	bītu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	28	obj	_	E₂
25	Ištar	Ištar	PROPN	DN	Gender=F	24	nmod:poss	_	{d}INANNA
26	ša	ša	ADP	DET	_	27	case	_	ša₂
27	Ninua	Ninua	PROPN	SN	_	25	nmod	_	{URU}NINA
28-29	ēpušma	_	_	_	_	_	_	_	_
28	ēpuš	epēšu	VERB	V	Verbstem=G|Person=1|Tense=Preterit|Mood=Indicative	_	_	_	DU₃-uš-ma
29	ma	_	_	CONJ	_	30	cc	_	_
30	arṣip	raṣāpu	VERB	V	Verbstem=G|Person=1|Tense=Preterit|Mood=Indicative	28	conj	_	ar-ṣip
