# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
2	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	1	appos	_	LUGAL
3	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	_	dan-nu
4	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	LUGAL
5	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	4	nmod:poss	_	KIŠ
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	LUGAL
7	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	6	nmod:poss	_	KUR
8	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	7	nmod:poss	_	aš-šur
9	nibīt	nibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	1	appos	_	ni-bit
10	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	9	nmod:poss	_	aš-šur
11	ša	ša	PRON	REL	_	_	_	_	ša
12	x	_	X	u	_	_	_	_	x
13	ultu	ištu	ADP	PRP	_	14	case	_	ul-tu
14	ulla	ulla	ADV	AV	_	18	obl	_	ul-la-a
15	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	18	nsubj	_	aš-šur
16-17	šumšu	_	_	_	_	_	_	_	_
16	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	18	obj	_	MU-šu
17	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	16	det	_	_
18	ibbû	nabû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	_	ib-bu-u₂
19	ša	ša	PRON	DET	_	_	_	_	ša
20	x	_	X	u	_	_	_	_	x
21	u	u	CCONJ	CNJ	_	_	_	_	u₃
22	agâ	agû	NOUN	N	Case=Acc|Gender=M|Nounbase=Free|Number=Sg	24	obj	_	a-ga-a
23	ṣīru	ṣīru	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	22	amod	_	ṣi-i-ru
24	ušatmehu	tamāhu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=S	18	conj	_	u₂-šat-me-hu
25	ša	ša	PRON	DET	_	33	obj	_	ša
26	x	_	X	u	_	_	_	_	x
27	ana	ana	ADP	PRP	_	28	case	_	a-na
28	šarrūt	šarrūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	33	obl	_	MAN-ut
29	x	_	X	u	_	_	_	_	x
30	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	28	nmod:poss	_	KUR
31	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	30	nmod:poss	_	aš-šur
32	rabîš	rabîš	ADV	AV	_	33	advmod	_	ra-bi-iš
33-34	ukīnušu	_	_	_	_	_	_	_	_
