# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006026-1
# text = ēkal Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}{d}IŠKUR-ERIM.TAH₂
3	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	3	nmod:poss	_	KIŠ
5	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	MAN
6	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	aš-šur
8	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	2	appos	_	A
9	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=M	8	nmod:poss	_	aš-šur-KAL-an
10	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	_	KIŠ
12	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	MAN
13	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	aš-šur
15	mār	māru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	appos	_	A
16	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Gender=M	15	nmod:poss	_	GISKIM-A-e₂-šar₂-ra
17	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	_	KIŠ
19	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	16	appos	_	MAN
20	māt	mātu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	_	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	aš-šur-ma
22	ma	_	PART	_	_	21	det	_	_
