# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006026-1
# text = ēkal Adad-nerari šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}{d}IŠKUR-ERIM.TAH₂
3	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	3	nmod:poss	3:nmod:poss	KIŠ
5	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
6	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	5	nmod:poss	5:nmod:poss	KUR
7	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	6	nmod:poss	6:nmod:poss	aš-šur
8	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	A
9	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	aš-šur-KAL-an
10	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	10	nmod:poss	10:nmod:poss	KIŠ
12	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	MAN
13	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	12	nmod:poss	12:nmod:poss	KUR
14	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	13	nmod:poss	13:nmod:poss	aš-šur
15	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	A
16	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Case=Undefined|Gender=M	15	nmod:poss	15:nmod:poss	GISKIM-A-e₂-šar₂-ra
17	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	17:nmod:poss	KIŠ
19	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	16	appos	16:appos	MAN
20	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	19:nmod:poss	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	20	nmod:poss	20:nmod:poss	aš-šur-ma
22	ma	_	PART	_	_	21	det	21:det	_

