# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006027-1
# text = ēkal Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ēkal	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Adad-nerari	_	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}10-ERIM.TAH₂
3	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
4	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	3	amod	3:amod	GAL-u₂
5	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
6	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	5	amod	5:amod	dan-nu
7	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
8	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	7	nmod:poss	7:nmod:poss	KIŠ
9	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
10	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	aš-šur
12	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	DUMU
13	Aššur-dan	_	PROPN	RN	Case=Undefined|Gender=M	12	nmod:poss	12:nmod:poss	{m}aš-šur-KAL-an
14	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	MAN
15	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	14	nmod:poss	14:nmod:poss	KIŠ
16	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	MAN
17	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	16	nmod:poss	16:nmod:poss	KUR
18	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	17	nmod:poss	17:nmod:poss	aš-šur
19	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	13	appos	13:appos	DUMU
20	Tukulti-apil-Ešarra	_	PROPN	RN	Case=Undefined|Gender=M	19	nmod:poss	19:nmod:poss	{m}{GIŠ}tukul-ti-A-e₂-šar₂-ra
21	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
22	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	21	nmod:poss	21:nmod:poss	KIŠ
23	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
24	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	23	nmod:poss	23:nmod:poss	KUR
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	24	nmod:poss	24:nmod:poss	aš-šur-ma
26	ma	_	PART	_	_	25	det	25:det	_

