# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006029-1
# text = ṣalam Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššur mār Tukulti-apil-Ešarra šar kiššati šar māt Aššurma
1	ṣalam	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	ṣa-lam
2	Adad-nerari	_	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}{d}10-ERIM.TAH₂
3	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
4	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	3	amod	3:amod	dan-nu
5	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
6	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	5	nmod:poss	5:nmod:poss	KIŠ
7	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
8	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	7	nmod:poss	7:nmod:poss	KUR
9	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	AŠ
10	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	A
11	Aššur-dan	_	PROPN	RN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	AŠ-KAL-an
12	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
13	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	12	nmod:poss	12:nmod:poss	KIŠ
14	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
15	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	14	nmod:poss	14:nmod:poss	KUR
16	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	15	nmod:poss	15:nmod:poss	AŠ
17	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	A
18	Tukulti-apil-Ešarra	_	PROPN	RN	Case=Undefined|Gender=M	17	nmod:poss	17:nmod:poss	GISKIM-A-e₂-šar₂-ra
19	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	18	appos	18:appos	MAN
20	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	19	nmod:poss	19:nmod:poss	KIŠ
21	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	18	appos	18:appos	MAN
22	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	21	nmod:poss	21:nmod:poss	KUR
23-24	Aššurma	_	_	_	_	_	_	_	_
23	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	22	nmod:poss	22:nmod:poss	AŠ-ma
24	ma	_	PART	_	_	23	det	23:det	_

