# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006045-1
# text = ēkal Tukulti-Ninurta šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	_	_	_	E₂.GAL
2	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}GISKIM-{d}MAŠ
3	šarru	šarru	NOUN	N	Nounbase=Free|Number=Sg|Gender=M|Case=Nom	2	appos	_	MAN
4	dannu	dannu	ADJ	AJ	Case=Nom|Number=Sg|Gender=M	3	amod	_	dan-nu
5	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
6	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	5	nmod:poss	_	KIŠ
7	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	MAN
8	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	7	nmod:poss	_	KUR
9	Aššur	Aššur	PROPN	GN	Gender=M	8	nmod:poss	_	AŠ
10	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	2	appos	_	A
11	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	10	nmod:poss	_	{m}10-ERIM.TAH₂
12	šarru	šarru	NOUN	N	Nounbase=Free|Number=Sg|Gender=M|Case=Nom	11	appos	_	MAN
13	dannu	dannu	ADJ	AJ	Case=Nom|Number=Sg|Gender=M	12	amod	_	dan-nu
14	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	11	appos	_	MAN
15	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	14	nmod:poss	_	KIŠ
16	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	11	appos	_	MAN
17	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	16	nmod:poss	_	KUR
18	Aššur	Aššur	PROPN	GN	Gender=M	17	nmod:poss	_	AŠ
19	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	11	appos	_	A
20	Aššur-dan	Aššur-dan_II	PROPN	RN	Gender=M	19	nmod:poss	_	{m}AŠ-KAL-an
21	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	20	appos	_	MAN
22	kiššati	kiššatu	NOUN	N	Nounbase=Free|Number=Sg|Gender=F|Case=Gen	21	nmod:poss	_	KIŠ
23	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	20	appos	_	MAN
24	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	23	nmod:poss	_	KUR
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	Aššur	PROPN	GN	Gender=M	24	nmod:poss	_	AŠ-ma
26	ma	_	_	PART	_	25	det	_	_
