# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006045-1
# text = ēkal Tukulti-Ninurta šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru dannu šar kiššati šar māt Aššur mār Aššur-dan šar kiššati šar māt Aššurma
1	ēkal	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	E₂.GAL
2	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	{m}GISKIM-{d}MAŠ
3	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	2	appos	2:appos	MAN
4	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	3	amod	3:amod	dan-nu
5	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
6	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	5	nmod:poss	5:nmod:poss	KIŠ
7	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	MAN
8	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	7	nmod:poss	7:nmod:poss	KUR
9	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	AŠ
10	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	appos	2:appos	A
11	Adad-nerari	Adad-narari_II	PROPN	RN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	{m}10-ERIM.TAH₂
12	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	11	appos	11:appos	MAN
13	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	12	amod	12:amod	dan-nu
14	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
15	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	14	nmod:poss	14:nmod:poss	KIŠ
16	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	MAN
17	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	16	nmod:poss	16:nmod:poss	KUR
18	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	17	nmod:poss	17:nmod:poss	AŠ
19	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	11	appos	11:appos	A
20	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	19	nmod:poss	19:nmod:poss	{m}AŠ-KAL-an
21	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
22	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	21	nmod:poss	21:nmod:poss	KIŠ
23	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	appos	20:appos	MAN
24	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	23	nmod:poss	23:nmod:poss	KUR
25-26	Aššurma	_	_	_	_	_	_	_	_
25	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	24	nmod:poss	24:nmod:poss	AŠ-ma
26	ma	_	PART	_	_	25	det	25:det	_

