# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004463-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarri rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarri rabê šarru dannu šar kiššati šar māt Aššur ma
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	_	_	_	{m}aš-šur-PAP-A
2	šarru	šarru	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=M	1	appos	_	MAN
3	rabû	rabû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	2	amod	_	GAL-u₂
4	šarru	šarru	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=M	1	appos	_	MAN
5	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	4	amod	_	dan-nu
6	šar	šarru	NOUN	N	Nounbase=Free|Number=Sg|Gender=M	1	appos	_	MAN
7	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	6	nmod:poss	_	KIŠ
8	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	1	appos	_	MAN
9	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	8	nmod:poss	_	KUR
10	Aššur	Aššur	PROPN	GN	Gender=M	9	nmod:tmod	_	aš-šur
11	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	1	appos	_	DUMU
12	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	11	nmod:poss	_	TUKUL-MAŠ
13	šarri	šarru	NOUN	N	Case=Gen|Nounbase=Free|Number=Sg|Gender=M	12	appos	_	MAN
14	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	13	amod	_	GAL-e
15	šarru	šarru	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=M	12	appos	_	MAN
16	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	15	amod	_	dan-nu
17	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	12	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	17	nmod:poss	_	KIŠ
19	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	12	appos	_	MAN
20	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	19	nmod:poss	_	KUR
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	aš-šur
22	mār	māru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	12	appos	_	DUMU
23	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	22	nmod:poss	_	10-ERIM.TAH₂
24	šarri	šarru	NOUN	N	Case=Gen|Nounbase=Free|Number=Sg|Gender=M	23	appos	_	MAN
25	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	24	amod	_	GAL-e
26	šarru	šarru	NOUN	N	Case=Nom|Nounbase=Free|Number=Sg|Gender=M	23	appos	_	MAN
27	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	26	amod	_	dan-nu
28	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	23	appos	_	MAN
29	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	28	nmod:poss	_	KIŠ
30	šar	šarru	NOUN	N	Nounbase=Bound|Number=Sg|Gender=M	23	appos	_	MAN
31	māt	mātu	NOUN	N	Nounbase=Bound|Number=Sg|Gender=F	30	nmod:poss	_	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	GN	Gender=M	31	nmod:poss	_	aš-šur-ma
33	ma	_	_	PART	_	32	det	_	_
