# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004560-1
# text = ēkal Aššur-naṣir-apli šarru rabê šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabê šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma
1	ēkal	ēkallu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}aš-šur-PAP-A
3	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Number=Sg|Nounbase=Free	2	appos	_	MAN
4	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	3	amod	_	GAL-e
5	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Number=Sg|Nounbase=Free	2	appos	_	MAN
6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	5	amod	_	dan-nu
7	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	2	appos	_	MAN
8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	7	nmod:poss	_	ŠU₂
9	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	2	appos	_	MAN
10	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	9	nmod:poss	_	KUR
11	Aššur	Aššur	PROPN	GN	Gender=M	10	nmod:poss	_	aš-šur
12	mār	māru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	2	appos	_	DUMU
13	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	12	nmod:poss	_	GISKIM-{d}nin-urta
14	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Number=Sg|Nounbase=Free	13	appos	_	MAN
15	rabê	rabû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	14	amod	_	GAL-e
16	šarru	šarru	NOUN	N	Case=Nom|Gender=M|Number=Sg|Nounbase=Free	13	appos	_	MAN
17	dannu	dannu	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	16	amod	_	dan-nu
18	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	13	appos	_	MAN
19	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	18	nmod:poss	_	ŠU₂
20	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	13	appos	_	MAN
21	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	20	nmod:poss	_	KUR
22	Aššur	Aššur	PROPN	GN	Gender=M	21	nmod:poss	_	aš-šur
23	mār	māru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	13	appos	_	DUMU
24	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	23	nmod:poss	_	10-ERIM.TAH₂
25	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	24	appos	_	MAN
26	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Number=Sg|Nounbase=Free	25	nmod:poss	_	ŠU₂
27	šar	šarru	NOUN	N	Gender=M|Number=Sg|Nounbase=Bound	24	appos	_	MAN
28	māt	mātu	NOUN	N	Gender=F|Number=Sg|Nounbase=Bound	27	nmod:poss	_	KUR
29-30	Aššurma	_	_	_	_	_	_	_	_
29	Aššur	Aššur	PROPN	GN	Gender=M	28	nmod:poss	_	aš-šur-ma
30	ma	_	_	PART	_	29	det	_	_
