# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004569-1
# text = ēkal Aššur-naṣir-apli šar kiššati šar māt Aššur mār Tukulti-Ninurta šar kiššati šar māt Aššur mār Adad-nerari šar kiššati šar māt Aššur ma
1	ēkal	ēkallu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	_	_	_	E₂.GAL
2	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=M	1	nmod:poss	_	{m}AŠ-PAP-A
3	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	MAN
4	kiššati	kiššatu	NOUN	N	Case=Gen|Number=Sg|Gender=F|Nounbase=Free	3	nmod:poss	_	ŠU₂
5	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	MAN
6	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	5	nmod:poss	_	KUR
7	Aššur	Aššur	PROPN	GN	Gender=M	6	nmod:poss	_	AŠ
8	mār	māru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	2	appos	_	A
9	Tukulti-Ninurta	Tukulti-Ninurta_II	PROPN	RN	Gender=M	8	nmod:poss	_	TUKUL-MAŠ
10	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	MAN
11	kiššati	kiššatu	NOUN	N	Case=Gen|Number=Sg|Gender=F|Nounbase=Free	10	nmod:poss	_	ŠU₂
12	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	MAN
13	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	12	nmod:poss	_	KUR
14	Aššur	Aššur	PROPN	GN	Gender=M	13	nmod:poss	_	AŠ
15	mār	māru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	9	appos	_	A
16	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=M	15	nmod:poss	_	10-ERIM.TAH₂
17	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	16	appos	_	MAN
18	kiššati	kiššatu	NOUN	N	Case=Gen|Number=Sg|Gender=F|Nounbase=Free	17	nmod:poss	_	ŠU₂
19	šar	šarru	NOUN	N	Number=Sg|Gender=M|Nounbase=Bound	16	appos	_	MAN
20	māt	mātu	NOUN	N	Number=Sg|Gender=F|Nounbase=Bound	19	nmod:poss	_	KUR
21-22	Aššurma	_	_	_	_	_	_	_	_
21	Aššur	Aššur	PROPN	GN	Gender=M	20	nmod:poss	_	AŠ-ma
22	ma	_	_	PART	_	21	det	_	_
