# text = lū ušamqit ina rēṣūṭe ša Šamaš u Adad ilāni tiklē ya ummānāt mātāt Nairi Habhi Šubare u Nirib kīma Adad rāhiṣi eli šunu ašgum šarru ša ultu ebertān Idiqlat adi Labnana
1	lū	_	PART	PART	_	2	advmod_emph	_	_
2	ušamqit	_	VERB	VERB	Verb_stem=S|Person=1|Tense=preterit|Mood=indicative	_	_	_	_
3	ina	_	ADP	ADP	_	4	case	_	_
4	rēṣūṭe	_	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=F	_	_	_	_
5	ša	_	ADP	ADP	_	6	case	_	_
6	Šamaš	_	PROPN	PROPN	Gender=M	4	nmod	_	_
7	u	_	CONJ	CONJ	_	8	cc	_	_
8	Adad	_	PROPN	PROPN	Gender=M	6	conj	_	_
9	ilāni	_	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=M	6	appos	_	_
10-11	tiklēya	_	_	_	_	_	_	_	_
10	tiklē	_	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Pl|Gender=M	6	appos	_	_
11	ya	_	PRON	PRON	Person=1|Number=Sg	10	det	_	_
12	ummānāt	_	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=F	_	_	_	_
13	mātāt	_	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=F	12	nmod_poss	_	_
14	Nairi	_	PROPN	PROPN	Case=Gen	13	nmod_poss	_	_
15	Habhi	_	PROPN	PROPN	Case=Gen	14	conj	_	_
16	Šubare	_	PROPN	PROPN	Case=Gen	14	conj	_	_
17	u	_	CONJ	CONJ	_	18	cc	_	_
18	Nirib	_	PROPN	PROPN	Case=Gen	14	conj	_	_
19	kīma	_	ADP	ADP	_	20	case	_	_
20	Adad	_	PROPN	PROPN	Gender=M	_	_	_	_
21	rāhiṣi	_	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	20	appos	_	_
22-23	elišunu	_	_	_	_	_	_	_	_
22	eli	_	ADP	ADP	_	_	_	_	_
23	šunu	_	PRON	PRON	_	22	det	_	_
24	ašgum	_	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Mood=indicative	_	_	_	_
25	šarru	_	NOUN	NOUN	Case=Nom|Noun_base=free|Number=Sg|Gender=M	_	_	_	_
26	ša	_	PRON	PRON	_	_	_	_	_
27	ultu	_	ADP	ADP	_	28	case	_	_
28	ebertān	_	NOUN	NOUN	Noun_base=bound|Gender=F	_	_	_	_
29	Idiqlat	_	PROPN	PROPN	_	28	nmod_poss	_	_
30	adi	_	ADP	ADP	_	31	case	_	_
31	Labnana	_	PROPN	PROPN	_	_	_	_	_

