# text = maddattu ša {m}x hurāṣī annakī erî parzillī x taphi erîm x.MEŠ erîm x amhur
1	maddattu	_	NOUN	NOUN	Case=Nom|Gender=F|Number=Sg|Noun_base=free	14	obj	_	_
2	ša	_	ADP	ADP	_	3	case	_	_
3	{m}x	_	PROPN	PROPN	_	1	nmod	_	_
4	hurāṣī	_	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	_	_	_	_
5	annakī	_	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	conj	_	_
6	erî	_	NOUN	NOUN	Noun_base=free|Number=Pl|Gender=M	4	conj	_	_
7	parzillī	_	NOUN	NOUN	Gender=M|Number=Pl	4	conj	_	_
8	x	_	_	_	_	_	_	_	_
9	taphi	_	NOUN	NOUN	Case=Gen|Noun_base=free|Number=Sg|Gender=M	4	conj	_	_
10	erîm	_	NOUN	NOUN	Case=Gen|Gender=M|Number=Sg|Noun_base=free	9	nmod_poss	_	_
11	x.MEŠ	_	NOUN	NOUN	Number=Pl	4	conj	_	_
12	erîm	_	NOUN	NOUN	Case=Gen|Gender=M|Number=Sg|Noun_base=free	11	nmod_poss	_	_
13	x	_	_	_	_	_	_	_	_
14	amhur	_	VERB	VERB	Verb_stem=G|Number=Sg|Tense=preterit|Mood=indicative|Person=1	_	_	_	_

